Date,Open,High,Low,Close
09/11/2023,"4,480.98","4,490.77","4,467.89","4,487.46"
09/08/2023,"4,451.30","4,473.53","4,448.38","4,457.49"
09/07/2023,"4,434.55","4,457.81","4,430.46","4,451.14"
09/06/2023,"4,490.35","4,490.35","4,442.38","4,465.48"
09/05/2023,"4,510.06","4,514.29","4,496.01","4,496.83"
09/01/2023,"4,530.85","4,541.25","4,501.35","4,515.77"
08/31/2023,"4,517.01","4,532.26","4,507.39","4,507.66"
08/30/2023,"4,500.34","4,521.65","4,493.59","4,514.87"
08/29/2023,"4,432.75","4,500.14","4,431.68","4,497.63"
08/28/2023,"4,426.03","4,439.56","4,414.98","4,433.31"
08/25/2023,"4,389.38","4,418.46","4,356.29","4,405.71"
08/24/2023,"4,455.16","4,458.30","4,375.55","4,376.31"
08/23/2023,"4,396.44","4,443.18","4,396.44","4,436.01"
08/22/2023,"4,415.33","4,418.59","4,382.77","4,387.55"
08/21/2023,"4,380.28","4,407.55","4,360.30","4,399.77"
08/18/2023,"4,344.88","4,381.82","4,335.31","4,369.71"
08/17/2023,"4,416.32","4,421.17","4,364.83","4,370.36"
08/16/2023,"4,433.79","4,449.95","4,403.55","4,404.33"
08/15/2023,"4,478.87","4,478.87","4,432.19","4,437.86"
08/14/2023,"4,458.13","4,490.33","4,453.44","4,489.72"
08/11/2023,"4,450.69","4,476.23","4,443.98","4,464.05"
08/10/2023,"4,487.16","4,527.37","4,457.92","4,468.83"
08/09/2023,"4,501.57","4,502.44","4,461.33","4,467.71"
08/08/2023,"4,498.03","4,503.31","4,464.39","4,499.38"
08/07/2023,"4,491.58","4,519.84","4,491.15","4,518.44"
08/04/2023,"4,513.96","4,540.34","4,474.55","4,478.03"
08/03/2023,"4,494.27","4,519.49","4,485.54","4,501.89"
08/02/2023,"4,550.93","4,550.93","4,505.75","4,513.39"
08/01/2023,"4,578.83","4,584.62","4,567.53","4,576.73"
07/31/2023,"4,584.82","4,594.22","4,573.14","4,588.96"
07/28/2023,"4,565.75","4,590.16","4,564.01","4,582.23"
07/27/2023,"4,598.26","4,607.07","4,528.56","4,537.41"
07/26/2023,"4,558.96","4,582.47","4,547.58","4,566.75"
07/25/2023,"4,555.19","4,580.62","4,552.42","4,567.46"
07/24/2023,"4,543.39","4,563.41","4,541.29","4,554.64"
07/21/2023,"4,550.16","4,555.00","4,535.79","4,536.34"
07/20/2023,"4,554.38","4,564.74","4,527.56","4,534.87"
07/19/2023,"4,563.87","4,578.43","4,557.48","4,565.72"
07/18/2023,"4,521.78","4,562.30","4,514.59","4,554.98"
