Datetime,Team 1,Team 2,Score,Result
2024-08-18 02:45:00,AC Milan,Torino,2-2,Draw
2024-08-25 00:30:00,Parma,AC Milan,2-1,Loss
2024-09-01 02:45:00,Lazio,AC Milan,2-2,Draw
2024-09-15 02:45:00,AC Milan,Venezia,4-0,Win
2024-09-18 03:00:00,AC Milan,Liverpool,1-3,Loss
2024-09-23 02:45:00,Inter,AC Milan,1-2,Win
2024-09-28 02:45:00,AC Milan,Lecce,3-0,Win
2024-10-02 03:00:00,Bayer 04 Leverkusen,AC Milan,1-0,Loss
2024-10-07 02:45:00,Fiorentina,AC Milan,2-1,Loss
2024-10-20 00:00:00,AC Milan,Udinese,1-0,Win
2024-10-23 00:45:00,AC Milan,Club Brugge,3-1,Win
2024-10-30 03:45:00,AC Milan,Napoli,0-2,Loss
2024-11-03 03:45:00,Monza,AC Milan,0-1,Win
2024-11-06 04:00:00,Real Madrid,AC Milan,1-3,Win
2024-11-10 01:00:00,Cagliari,AC Milan,3-3,Draw
2024-11-24 01:00:00,AC Milan,Juventus,0-0,Draw
2024-11-27 01:45:00,Slovan Bratislava,AC Milan,2-3,Win
2024-12-01 01:00:00,AC Milan,Empoli,3-0,Win
2024-12-04 04:00:00,AC Milan,Sassuolo,6-1,Win
2024-12-07 03:45:00,Atalanta,AC Milan,2-1,Loss
2024-12-12 04:00:00,AC Milan,Crvena Zvezda,2-1,Win
2024-12-16 03:45:00,AC Milan,Genoa,0-0,Draw
2024-12-21 03:45:00,Verona,AC Milan,0-1,Win
2024-12-30 03:45:00,AC Milan,Roma,1-1,Draw
2025-01-04 03:00:00,Juventus,AC Milan,1-2,Win
2025-01-07 03:00:00,Inter,AC Milan,2-3,Win
2025-01-12 03:45:00,AC Milan,Cagliari,1-1,Draw
2025-01-15 01:30:00,Como,AC Milan,1-2,Win
2025-01-19 01:00:00,Juventus,AC Milan,2-0,Loss
2025-01-23 04:00:00,AC Milan,Girona,1-0,Win
2025-01-26 19:30:00,AC Milan,Parma,3-2,Win
2025-01-30 04:00:00,Dinamo Zagreb,AC Milan,2-1,Loss
2025-02-03 01:00:00,AC Milan,Inter,1-1,Draw
2025-02-06 04:00:00,AC Milan,Roma,3-1,Win
2025-02-09 01:00:00,Empoli,AC Milan,0-2,Win
2025-02-13 04:00:00,Feyenoord,AC Milan,1-0,Loss
2025-02-16 03:45:00,AC Milan,Verona,1-0,Win
2025-02-19 01:45:00,AC Milan,Feyenoord,1-1,Draw
2025-02-23 01:00:00,Torino,AC Milan,2-1,Loss
2025-02-28 03:45:00,Bologna,AC Milan,2-1,Loss
2025-03-03 03:45:00,AC Milan,Lazio,1-2,Loss
2025-03-09 01:00:00,Lecce,AC Milan,2-3,Win
2025-03-16 01:00:00,AC Milan,Como,2-1,Win
2025-03-31 02:45:00,Napoli,AC Milan,2-1,Loss
2025-04-03 03:00:00,AC Milan,Inter,1-1,Draw
2025-04-06 02:45:00,AC Milan,Fiorentina,2-2,Draw
