Datetime,League,Matchday,Home/Away,Team 1,Team 2,Score,Result
2024-08-18 02:45:00,Serie A,1,Home,AC Milan,Torino,2-2,Draw
2024-08-25 00:30:00,Serie A,2,Away,Parma,AC Milan,2-1,Loss
2024-09-01 02:45:00,Serie A,3,Away,Lazio,AC Milan,2-2,Draw
2024-09-15 02:45:00,Serie A,4,Home,AC Milan,Venezia,4-0,Win
2024-09-18 03:00:00,UEFA Champions League,1,Home,AC Milan,Liverpool,1-3,Loss
2024-09-23 02:45:00,Serie A,5,Away,Inter,AC Milan,1-2,Win
2024-09-28 02:45:00,Serie A,6,Home,AC Milan,Lecce,3-0,Win
2024-10-02 03:00:00,UEFA Champions League,2,Away,Bayer 04 Leverkusen,AC Milan,1-0,Loss
2024-10-07 02:45:00,Serie A,7,Away,Fiorentina,AC Milan,2-1,Loss
2024-10-20 00:00:00,Serie A,8,Home,AC Milan,Udinese,1-0,Win
2024-10-23 00:45:00,UEFA Champions League,3,Home,AC Milan,Club Brugge,3-1,Win
2024-10-30 03:45:00,Serie A,10,Home,AC Milan,Napoli,0-2,Loss
2024-11-03 03:45:00,Serie A,11,Away,Monza,AC Milan,0-1,Win
2024-11-06 04:00:00,UEFA Champions League,4,Away,Real Madrid,AC Milan,1-3,Win
2024-11-10 01:00:00,Serie A,12,Away,Cagliari,AC Milan,3-3,Draw
2024-11-24 01:00:00,Serie A,13,Home,AC Milan,Juventus,0-0,Draw
2024-11-27 01:45:00,UEFA Champions League,5,Away,Slovan Bratislava,AC Milan,2-3,Win
2024-12-01 01:00:00,Serie A,14,Home,AC Milan,Empoli,3-0,Win
2024-12-04 04:00:00,Coppa Italia,4,Home,AC Milan,Sassuolo,6-1,Win
2024-12-07 03:45:00,Serie A,15,Away,Atalanta,AC Milan,2-1,Loss
2024-12-12 04:00:00,UEFA Champions League,6,Home,AC Milan,Crvena Zvezda,2-1,Win
2024-12-16 03:45:00,Serie A,16,Home,AC Milan,Genoa,0-0,Draw
2024-12-21 03:45:00,Serie A,17,Away,Verona,AC Milan,0-1,Win
2024-12-30 03:45:00,Serie A,18,Home,AC Milan,Roma,1-1,Draw
2025-01-04 03:00:00,Italian Supercup,1,Away,Juventus,AC Milan,1-2,Win
2025-01-07 03:00:00,Italian Supercup,2,Away,Inter,AC Milan,2-3,Win
2025-01-12 03:45:00,Serie A,20,Home,AC Milan,Cagliari,1-1,Draw
2025-01-15 01:30:00,Serie A,19,Away,Como,AC Milan,1-2,Win
2025-01-19 01:00:00,Serie A,21,Away,Juventus,AC Milan,2-0,Loss
2025-01-23 04:00:00,UEFA Champions League,7,Home,AC Milan,Girona,1-0,Win
2025-01-26 19:30:00,Serie A,22,Home,AC Milan,Parma,3-2,Win
2025-01-30 04:00:00,UEFA Champions League,8,Away,Dinamo Zagreb,AC Milan,2-1,Loss
2025-02-03 01:00:00,Serie A,23,Home,AC Milan,Inter,1-1,Draw
2025-02-06 04:00:00,Coppa Italia,5,Home,AC Milan,Roma,3-1,Win
2025-02-09 01:00:00,Serie A,24,Away,Empoli,AC Milan,0-2,Win
2025-02-13 04:00:00,UEFA Champions League,9,Away,Feyenoord,AC Milan,1-0,Loss
2025-02-16 03:45:00,Serie A,25,Home,AC Milan,Verona,1-0,Win
2025-02-19 01:45:00,UEFA Champions League,10,Home,AC Milan,Feyenoord,1-1,Draw
2025-02-23 01:00:00,Serie A,26,Away,Torino,AC Milan,2-1,Loss
2025-02-28 03:45:00,Serie A,9,Away,Bologna,AC Milan,2-1,Loss
2025-03-03 03:45:00,Serie A,27,Home,AC Milan,Lazio,1-2,Loss
2025-03-09 01:00:00,Serie A,28,Away,Lecce,AC Milan,2-3,Win
2025-03-16 01:00:00,Serie A,29,Home,AC Milan,Como,2-1,Win
2025-03-31 02:45:00,Serie A,30,Away,Napoli,AC Milan,2-1,Loss
2025-04-03 03:00:00,Coppa Italia,6,Home,AC Milan,Inter,1-1,Draw
2025-04-06 02:45:00,Serie A,31,Home,AC Milan,Fiorentina,2-2,Draw
