open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,16590.1,16597.77,16590.1,16592.89,891.76306,1672503299999,14797696.9455442,27451,464.31414,7704815.1563644,0
1672503300000,16592.77,16604.22,16581.24,16602.22,1250.40176,1672504199999,20749871.5441053,32556,631.43398,10478495.379966,0
1672504200000,16602.22,16604.4,16594.12,16596.92,1019.48597,1672505099999,16922565.0016044,33813,502.02829,8333366.3143703,0
1672505100000,16596.49,16613.3,16594.69,16600.39,1107.93897,1672505999999,18395403.5699478,35019,570.7315,9476006.2103949,0
1672506000000,16600.93,16604.37,16581.0,16583.99,1427.19669,1672506899999,23682256.1307017,36182,692.14741,11485360.7496182,0
1672506900000,16583.24,16595.66,16571.01,16583.43,1753.01037,1672507799999,29069108.6048869,49990,822.44386,13638435.5691954,0
1672507800000,16583.43,16584.98,16577.14,16582.61,798.62617,1672508699999,13242786.7086279,31542,417.46128,6922405.8047383,0
1672508700000,16582.84,16586.96,16578.15,16582.08,865.21522,1672509599999,14346895.6706002,31548,437.62146,7256709.1258603,0
1672509600000,16581.45,16589.36,16580.47,16586.59,768.52101,1672510499999,12745948.346883,27982,386.1856,6404967.921414,0
1672510500000,16586.13,16587.0,16575.84,16577.13,648.28881,1672511399999,10750026.5035571,24759,302.73834,5020145.625522,0
1672511400000,16577.12,16579.81,16571.8,16576.57,940.85734,1672512299999,15595641.7810307,31543,464.65052,7702150.9626302,0
1672512300000,16577.04,16582.5,16572.5,16577.79,983.13614,1672513199999,16298483.2851845,30363,481.6648,7985175.1421937,0
1672513200000,16577.78,16579.56,16571.0,16575.99,831.83553,1672514099999,13787460.7127471,22240,464.98823,7707016.3736322,0
1672514100000,16576.42,16580.39,16566.37,16572.17,905.61279,1672514999999,15008764.3079426,26183,465.63565,7717075.2890678,0
1672515000000,16571.72,16588.09,16571.23,16577.14,1204.75477,1672515899999,19976049.835952,34667,611.31073,10136251.0262057,0
1672515900000,16576.66,16590.06,16565.1,16570.14,1102.2305,1672516799999,18273772.1320522,33497,525.98696,8720530.1554721,0
1672516800000,16570.14,16572.76,16567.16,16569.76,604.05429,1672517699999,10009107.9960841,22991,305.93021,5069283.4475802,0
1672517700000,16569.76,16574.97,16567.58,16570.71,686.33753,1672518599999,11373756.5755958,22212,342.95295,5683349.4253455,0
1672518600000,16570.99,16573.62,16564.09,16570.46,718.08075,1672519499999,11897356.2390965,24479,374.43335,6203751.9569143,0
1672519500000,16570.45,16573.56,16565.0,16568.6,613.67098,1672520399999,10168266.4082079,21023,288.0646,4773127.6560931,0
1672520400000,16568.19,16571.64,16564.43,16566.31,797.38422,1672521299999,13210263.9257038,23906,401.52404,6652101.0311017,0
1672521300000,16566.39,16570.04,16557.46,16563.84,944.62485,1672522199999,15646174.6921686,28608,445.64665,7381506.8909867,0
1672522200000,16563.57,16568.34,16554.15,16560.53,826.91784,1672523099999,13694254.0865193,23630,420.75855,6968268.0774148,0
1672523100000,16559.8,16561.19,16544.12,16548.28,1049.84698,1672523999999,17377335.3755452,28921,478.48414,7920020.2172692,0
1672524000000,16548.28,16567.49,16542.02,16565.38,1049.83538,1672524899999,17378743.0987811,31081,511.39985,8465399.895086,0
1672524900000,16564.95,16565.62,16506.36,16544.98,2057.59853,1672525799999,34020707.7399761,41327,978.98588,16186509.1066041,0
1672525800000,16544.78,16553.3,16517.76,16538.37,1384.3583,1672526699999,22891588.8853835,32350,642.77412,10628568.7102521,0
1672526700000,16538.37,16538.84,16470.0,16520.81,2203.34404,1672527599999,36375887.9330943,49175,986.79828,16291050.0579048,0
1672527600000,16520.28,16524.91,16487.74,16502.67,1881.98123,1672528499999,31061904.9582522,52709,916.3568,15124362.887446,0
1672528500000,16502.67,16529.54,16500.73,16524.64,1183.46729,1672529399999,19551244.8305334,38396,591.18552,9766406.9169631,0
1672529400000,16524.65,16551.24,16520.44,16546.13,1208.3196,1672530299999,19985671.5171052,35003,609.91861,10088138.2617356,0
1672530300000,16546.14,16550.55,16534.92,16542.4,699.66495,1672531199999,11573006.6749313,26524,333.56242,5517467.668761,0
1672531200000,16541.77,16544.76,16520.0,16520.69,1172.53835,1672532099999,19384546.3531442,37484,553.35053,9148049.5022496,0
1672532100000,16521.26,16545.7,16517.72,16544.19,1102.62888,1672532999999,18229816.9438864,33528,588.35947,9727374.9192564,0
1672533000000,16544.19,16544.61,16508.39,16515.43,1365.65633,1672533899999,22565292.328533,48518,664.46239,10979132.1103435,0
1672533900000,16515.91,16536.84,16515.43,16529.67,724.01214,1672534799999,11966637.9611593,30324,373.77533,6177796.3385077,0
1672534800000,16529.59,16541.8,16525.78,16538.21,977.2468,1672535699999,16158676.333894,32200,458.02292,7573419.428402,0
1672535700000,16537.68,16540.82,16530.76,16534.6,661.68521,1672536599999,10941202.3145127,27617,302.49773,5002019.5863234,0
1672536600000,16534.02,16543.38,16530.62,16539.94,792.69185,1672537499999,13108646.2585333,30170,388.61598,6426522.6451007,0
1672537500000,16539.94,16556.8,16538.03,16551.47,1158.44283,1672538399999,19168232.4376692,36569,581.11238,9615454.3450382,0
1672538400000,16551.47,16551.59,16539.57,16549.03,903.09653,1672539299999,14940888.3421548,30782,437.35249,7235663.8518599,0
1672539300000,16549.02,16555.0,16546.48,16552.89,804.41804,1672540199999,13313376.7214463,28821,408.71856,6764457.5002953,0
1672540200000,16552.89,16559.77,16538.38,16538.77,879.62878,1672541099999,14558786.3795497,29971,395.88107,6552542.277119,0
1672541100000,16538.77,16549.12,16538.14,16548.19,731.69703,1672541999999,12106401.9324705,25824,369.1709,6108204.2384623,0
1672542000000,16548.19,16548.19,16523.34,16527.87,1559.42213,1672542899999,25779531.5985758,46903,727.02409,12018518.5924523,0
1672542900000,16527.44,16533.09,16518.21,16529.89,1253.37828,1672543799999,20712974.2620032,40230,625.41291,10335658.0180529,0
1672543800000,16529.89,16537.42,16526.74,16533.68,726.2119,1672544699999,12006193.54018,25769,394.39364,6520457.1550324,0
1672544700000,16533.68,16537.72,16529.53,16533.04,703.06819,1672545599999,11623842.5366954,24822,349.26223,5774410.7195928,0
1672545600000,16533.04,16535.97,16524.57,16526.12,840.02655,1672546499999,13885835.3138166,27254,393.50205,6504744.6997169,0
1672546500000,16526.12,16530.25,16516.49,16518.59,1411.33708,1672547399999,23319515.3050733,37070,718.79088,11876756.989192,0
1672547400000,16518.31,16525.95,16517.58,16519.47,848.75887,1672548299999,14023232.0775064,28982,446.02656,7369361.5578077,0
1672548300000,16519.96,16526.99,16511.92,16521.85,1184.88659,1672549199999,19574061.7817483,36229,630.08226,10408954.7773546,0
1672549200000,16522.22,16524.0,16512.3,16518.37,1026.4706,1672550099999,16956250.0758119,31761,514.4877,8499013.8041725,0
1672550100000,16518.77,16522.66,16512.31,16521.07,1022.11408,1672550999999,16883012.7804117,32390,531.68047,8782336.2914121,0
1672551000000,16521.42,16522.75,16514.79,16520.02,669.28025,1672551899999,11055605.0864567,24219,349.10466,5766811.0908201,0
1672551900000,16520.03,16534.98,16518.85,16530.71,999.50685,1672552799999,16517349.1846974,30171,530.383,8764730.3990515,0
1672552800000,16530.71,16543.69,16528.81,16537.72,949.23319,1672553699999,15697183.1073308,29580,483.27442,7991767.9381102,0
1672553700000,16538.05,16550.0,16537.64,16544.63,976.15533,1672554599999,16150429.8091706,28733,447.20343,7398976.4408379,0
1672554600000,16545.02,16545.96,16538.41,16544.68,700.60455,1672555499999,11589528.4916123,22882,332.11182,5493880.099988,0
1672555500000,16544.38,16546.93,16538.46,16539.79,718.90899,1672556399999,11892419.2453374,24879,362.57212,5997832.5787048,0
1672556400000,16539.79,16544.57,16522.42,16530.26,1473.82665,1672557299999,24367038.2400049,41726,682.32621,11281212.4702633,0
1672557300000,16530.82,16530.82,16499.01,16522.78,1815.73002,1672558199999,29979612.5937782,44744,853.55546,14093113.4504665,0
1672558200000,16522.28,16529.98,16504.17,16525.24,973.59913,1672559099999,16082222.7575952,32022,491.60021,8120648.2506175,0
1672559100000,16525.59,16532.37,16520.67,16526.19,921.80242,1672559999999,15234718.3383206,30053,449.10827,7422599.1939472,0
1672560000000,16525.7,16534.03,16516.78,16518.19,1154.72646,1672560899999,19082091.5620645,34806,537.07238,8875499.276907,0
1672560900000,16518.19,16525.88,16513.24,16523.23,991.67781,1672561799999,16383134.1017948,33075,502.13082,8295686.560408,0
1672561800000,16522.83,16527.11,16509.3,16510.68,1045.51261,1672562699999,17269824.9132463,34198,484.82409,8008517.7020779,0
1672562700000,16510.68,16517.35,16508.45,16513.34,1080.00335,1672563599999,17833332.8806771,33526,568.37541,9385316.5546209,0
1672563600000,16513.33,16515.23,16505.2,16514.75,1004.21866,1672564499999,16580291.1027951,32623,513.75618,8482555.6423934,0
1672564500000,16515.11,16522.63,16511.96,16514.23,999.24874,1672565399999,16505118.2527843,33086,492.05075,8127511.3327441,0
1672565400000,16514.64,16533.12,16514.22,16531.85,883.55127,1672566299999,14599843.2693918,29912,454.1939,7504919.1058927,0
1672566300000,16531.85,16542.49,16525.62,16537.88,1213.73182,1672567199999,20068943.3572378,38449,643.34056,10637689.6087268,0
1672567200000,16538.32,16543.14,16533.42,16542.85,1179.05514,1672568099999,19497873.9506967,37082,621.87268,10284054.2954715,0
1672568100000,16542.6,16547.38,16539.98,16544.07,801.48739,1672568999999,13259520.9738802,28817,397.16149,6570559.4519817,0
1672569000000,16543.69,16544.75,16533.79,16539.58,970.78802,1672569899999,16055305.4404909,31056,481.43639,7962275.5814096,0
1672569900000,16539.83,16548.71,16538.12,16548.34,852.43561,1672570799999,14100819.6109632,31090,437.61808,7239075.1201512,0
1672570800000,16547.98,16552.67,16545.05,16547.92,1003.6487,1672571699999,16609492.8059406,36051,507.50188,8398798.2193881,0
1672571700000,16547.56,16547.96,16540.2,16544.56,825.55748,1672572599999,13658484.7455636,31394,387.10965,6404613.884144,0
1672572600000,16544.56,16552.03,16542.14,16550.95,922.90734,1672573499999,15272199.0539994,32845,474.73545,7856007.4067327,0
1672573500000,16550.59,16557.0,16547.51,16556.66,987.41661,1672574399999,16343716.1747701,33748,501.05217,8293510.8599377,0
