open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1546300800000,2.5345,2.9474,2.15,2.3089,182269369.39,1548979199999,455474777.035841,1442930,94493277.46,236213674.520654,0
1548979200000,2.31,4.4416,2.276,3.4971,222394554.47,1551398399999,732780141.446113,1650712,113947388.04,375848063.628942,0
1551398400000,3.4977,4.406,3.1,4.1893,227705826.98,1554076799999,849785038.520406,1508236,116924252.16,436338339.160551,0
1554076800000,4.1895,5.973,4.1382,4.8159,231717330.83,1556668799999,1198291209.461388,2552791,117130899.03,606211934.767648,0
1556668800000,4.817,8.6903,4.5706,8.5645,248070531.56,1559347199999,1571125381.649726,2964407,126849722.68,805206226.205535,0
1559347200000,8.5618,8.6389,5.6329,5.7926,261744330.34,1561939199999,1776662384.467594,3541216,133348849.14,905605459.492778,0
1561939200000,5.7949,6.15,3.3402,4.417,231606385.13,1564617599999,1087141180.870917,2759260,115311495.33,542250565.884876,0
1564617600000,4.4196,4.5771,3.05,3.3195,98307034.37,1567295999999,376546679.841663,1171414,47366433.91,181241310.587496,0
1567296000000,3.3195,4.2341,2.4212,2.9636,245860390.16,1569887999999,831209720.925248,1726308,121833679.88,411900750.718027,0
1569888000000,2.9636,3.55,2.533,3.2531,257474872.08,1572566399999,795407121.625402,1700635,128746752.28,397809283.432573,0
1572566400000,3.2545,3.6886,2.3307,2.7479,242805604.3,1575158399999,737484826.606552,1642099,120620441.55,366520199.355597,0
1575158400000,2.7472,2.8559,2.1428,2.5833,156063211.18,1577836799999,397426240.508869,823793,77206618.2,196597931.189857,0
1577836800000,2.5837,4.4,2.4193,4.1444,296041106.35,1580515199999,1035798008.661951,2412646,148301059.32,518521696.753605,0
1580515200000,4.1462,5.4996,3.2801,3.5105,362109788.21,1583020799999,1556585334.443765,3555233,181482606.02,780946854.421687,0
1583020800000,3.5105,3.86,1.3586,2.2086,580499830.03,1585699199999,1357063526.340993,4034352,289885425.03,678173813.71462,0
1585699200000,2.209,3.1187,2.1324,2.822,322966363.96,1588291199999,841889663.301241,2480369,161215652.87,420169142.169454,0
1588291200000,2.8208,3.01,2.267,2.6731,276622777.95,1590969599999,727552407.487742,2222829,136859146.6,360037734.811499,0
1590969600000,2.6722,2.8939,2.1945,2.368,193371068.79,1593561599999,504371433.453495,1567144,92950394.6,242375074.386608,0
1593561600000,2.368,3.147,2.303,3.0932,274137685.12,1596239999999,735050791.998964,2104452,133175114.23,356589664.179559,0
1596240000000,3.0933,3.949,2.5435,3.2081,556290478.44,1598918399999,1826650420.688045,3859543,274110450.79,900114914.223474,0
1598918400000,3.2081,3.5497,2.3907,2.5777,452988745.59,1601510399999,1287838741.898212,2706602,223273158.89,634981019.245834,0
1601510400000,2.5776,2.9711,2.4035,2.528,282436811.5,1604188799999,741279372.143304,1643674,139821551.37,366980540.006547,0
1604188800000,2.5279,3.8802,2.2259,3.2615,565481916.8,1606780799999,1671237612.396511,3592258,282680695.42,835616078.398351,0
1606780800000,3.2599,3.34,1.9964,2.5911,569808444.97,1609459199999,1608872990.297475,3544694,281263550.66,794121184.687046,0
1609459200000,2.5906,3.922,2.3859,2.9297,1196306516.34,1612137599999,3488273102.761599,6708850,591016137.55,1724900772.661094,0
1612137600000,2.9298,5.6028,2.893,3.4765,1423262313.01,1614556799999,5924332629.92599,10100328,699339286.8,2910870633.988311,0
1614556800000,3.4745,4.9085,3.4486,4.8021,791740333.04,1617235199999,3179147643.72325,8174727,390848398.81,1569599876.600668,0
1617235200000,4.8018,8.8465,4.47,6.4491,1597454493.79,1619827199999,10227619162.924065,17910473,801428304.31,5134119856.02888,0
1619827200000,6.4499,14.9,3.571,6.6297,2796189061.05,1622505599999,24141361933.547,29307476,1401785649.4,12112433930.28749,0
1622505600000,6.6322,6.7606,3.0392,4.1383,717806052.26,1625097599999,3477487543.462644,6802994,356758020.45,1730098247.128506,0
1625097600000,4.1381,4.42,3.1522,4.068,640800825.65,1627775999999,2460051618.321634,5685042,319196712.2,1226015716.441081,0
1627776000000,4.0676,5.94,3.8502,5.037,795149557.31,1630454399999,3920569907.70832,8132164,396339230.83,1953862273.350762,0
1630454400000,5.036,6.424,3.636,3.938,938860179.94,1633046399999,4569565711.596377,8687760,464867643.17,2262148136.255719,0
1633046400000,3.938,5.086,3.85,4.637,674450984.6,1635724799999,3091551151.1325,6536576,332541340.2,1524137509.4142,0
1635724800000,4.637,5.44,3.66,4.004,639209944.7,1638316799999,2892559951.4932,6863417,312992826.0,1416425047.9027,0
1638316800000,4.004,4.169,2.3911,3.034,800638066.23,1640995199999,2660084088.598959,5804652,397016953.37,1319054727.401312,0
1640995200000,3.033,3.274,1.99,2.337,467990371.37,1643673599999,1210290137.907841,3205325,230422285.82,595253617.59877,0
1643673600000,2.337,2.768,1.86,2.282,393709978.51,1646092799999,910850318.779506,2310905,195000937.9,451346793.1898,0
1646092800000,2.282,3.22,1.87,2.826,522028426.7,1648771199999,1266461262.316,3084168,260444413.1,631949481.0277,0
1648771200000,2.826,2.943,1.913,2.012,579230956.2,1651363199999,1453149880.2412,3322921,285867436.4,717004576.3983,0
1651363200000,2.013,2.251,1.11,1.38,638551145.28,1654041599999,980473120.932823,2707585,318316919.6,489138112.4828,0
1654041600000,1.381,1.407,0.815,0.926,416038879.06,1656633599999,431430765.764,1511902,206212106.5,213965943.2839,0
1656633600000,0.926,1.449,0.887,1.331,389101653.0,1659311999999,433043103.3513,1350942,188577786.0,209941809.2059,0
1659312000000,1.332,1.948,1.148,1.373,759494885.0,1661990399999,1135736542.9114,2966777,378073737.4,564209448.8811,0
1661990400000,1.372,1.868,1.102,1.183,614872262.7,1664582399999,887546378.3723,2568605,308179305.4,444253707.3568,0
1664582400000,1.183,1.235,0.937,1.148,299842326.2,1667260799999,328592819.3591,857806,151215759.5,165821643.0426,0
1667260800000,1.149,1.219,0.788,0.951,351821941.92,1669852799999,344028337.5729,1034704,172646090.8,169071017.1494,0
1669852800000,0.95,1.067,0.83,0.862,279488220.3,1672531199999,263225520.6364,713349,137678582.1,129586864.929,0
1672531200000,0.862,1.144,0.856,1.063,254096183.7,1675209599999,259602290.1342,853373,125152448.4,127564424.213,0
1675209600000,1.063,1.312,0.998,1.146,421497310.5,1677628799999,482293262.342,1225798,205423126.2,234969100.7672,0
1677628800000,1.145,1.341,0.955,1.196,627598315.8,1680307199999,719332465.318,1903122,303675948.5,348086175.7409,0
1680307200000,1.196,1.297,0.974,1.022,335141587.1,1682899199999,388654901.2706,982793,168142990.4,194909545.1082,0
1682899200000,1.022,1.038,0.993,1.001,22369646.1,1685577599999,22713309.1924,63751,10495142.4,10657932.3454,0
