open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577808000000,2.5995,2.609,2.5949,2.6085,58111.83,1577809799999,151350.351495,435,29761.47,77533.73445,0
1577809800000,2.6079,2.6115,2.6039,2.6055,15183.7,1577811599999,39599.459961,146,6990.84,18231.941479,0
1577811600000,2.603,2.6053,2.5973,2.5973,22894.57,1577813399999,59541.777109,163,12584.97,32734.722463,0
1577813400000,2.5973,2.5982,2.5653,2.5753,221255.39,1577815199999,570858.330874,1323,117810.32,303901.307418,0
1577815200000,2.5744,2.5808,2.5654,2.5808,80093.64,1577816999999,205933.96338,491,41094.4,105654.257939,0
1577817000000,2.5811,2.5817,2.5715,2.577,68808.71,1577818799999,177272.559587,344,18068.39,46538.72274,0
1577818800000,2.576,2.5787,2.57,2.575,33578.9,1577820599999,86431.764814,256,17291.6,44508.92473,0
1577820600000,2.5731,2.5794,2.5731,2.5748,17176.67,1577822399999,44265.354634,106,8664.63,22334.591553,0
1577822400000,2.5748,2.5776,2.5706,2.576,28079.98,1577824199999,72252.672487,195,8499.51,21874.975656,0
1577824200000,2.5747,2.5775,2.5705,2.5739,6086.88,1577825999999,15663.953375,97,2274.31,5855.521444,0
1577826000000,2.5727,2.5834,2.5727,2.5817,15609.07,1577827799999,40268.903017,143,9936.69,25629.467481,0
1577827800000,2.5811,2.5862,2.5768,2.5841,29484.41,1577829599999,76149.181392,200,19673.27,50800.834795,0
1577829600000,2.5806,2.587,2.5792,2.5849,7924.79,1577831399999,20478.019448,79,4775.86,12347.673065,0
1577831400000,2.5861,2.5931,2.5855,2.5919,18433.4,1577833199999,47744.655625,128,14739.91,38176.580241,0
1577833200000,2.5921,2.5921,2.5847,2.5873,10356.8,1577834999999,26800.191577,79,4640.15,12008.407136,0
1577835000000,2.5879,2.5893,2.5833,2.5833,7308.55,1577836799999,18910.354464,125,942.74,2439.010331,0
1577836800000,2.5837,2.5852,2.5763,2.581,13300.97,1577838599999,34326.53541,124,9337.17,24098.145099,0
1577838600000,2.5807,2.5888,2.5807,2.5882,23399.98,1577840399999,60452.041621,162,18297.6,47263.011707,0
1577840400000,2.59,2.6175,2.5873,2.6111,137248.09,1577842199999,357339.590379,1034,85974.63,223821.378923,0
