open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,2.5906,2.7313,2.567,2.6378,13298192.52,1609545599999,35099545.436225,101560,6538581.58,17257072.029421,0
1609545600000,2.6381,2.7232,2.5627,2.6321,17549382.44,1609631999999,46146783.410537,128653,8769102.78,23064963.109708,0
1609632000000,2.6316,2.8444,2.5767,2.7985,34686424.89,1609718399999,94151339.132964,220237,17195947.1,46727091.394716,0
1609718400000,2.799,3.122,2.62,2.8191,52251721.55,1609804799999,149823765.495612,289402,25873918.59,74134992.835133,0
1609804800000,2.8199,2.9537,2.7104,2.8862,30181879.28,1609891199999,85593226.418251,183292,14762731.01,41883513.628024,0
1609891200000,2.8861,3.455,2.8474,3.3711,64001252.23,1609977599999,203259129.723158,352420,32942946.05,104593680.193492,0
1609977600000,3.3714,3.4488,3.05,3.1943,70175676.38,1610063999999,230729793.101568,354359,34539219.33,113648805.912095,0
1610064000000,3.1951,3.2531,2.9,3.1094,44115462.0,1610150399999,136291274.103336,228969,21457793.52,66295499.653485,0
1610150400000,3.1095,3.7391,3.0126,3.6145,67692589.97,1610236799999,233160829.465625,341310,34015753.03,117256143.290234,0
1610236800000,3.6141,3.922,2.85,3.0552,123377042.1,1610323199999,413525613.631807,588697,60632538.07,203778070.89295,0
1610323200000,3.0555,3.0696,2.3859,2.6663,110927782.55,1610409599999,297169931.565134,514930,55062880.91,147485727.149784,0
1610409600000,2.6692,2.7704,2.5305,2.5969,36062487.03,1610495999999,95812331.840514,188592,17980877.85,47796807.121825,0
1610496000000,2.5984,2.7933,2.5243,2.767,27740001.36,1610582399999,74106859.344514,141858,13675531.27,36542888.533864,0
1610582400000,2.7681,2.8589,2.6913,2.8089,32720798.98,1610668799999,90577969.665881,184244,16153273.53,44714751.410411,0
1610668800000,2.8094,2.9369,2.58,2.7566,41381415.15,1610755199999,114546660.321933,229178,20205341.2,55975379.156926,0
1610755200000,2.7567,2.8843,2.7056,2.777,34613368.34,1610841599999,96995202.234737,216069,17604633.98,49345000.111716,0
1610841600000,2.7771,2.8035,2.6804,2.764,21830570.16,1610927999999,59964210.358661,137575,10295172.01,28284783.857084,0
1610928000000,2.7639,2.8351,2.7021,2.8144,21835501.73,1611014399999,60630711.974748,137726,10760712.72,29887745.904977,0
1611014400000,2.8155,2.9272,2.782,2.7895,34691602.04,1611100799999,99179856.753527,204914,16658557.52,47636153.178243,0
1611100800000,2.7897,2.8234,2.656,2.7756,24136427.43,1611187199999,66217134.44955,178036,11162251.91,30633832.518691,0
1611187200000,2.7761,2.7832,2.4958,2.5451,27175796.05,1611273599999,71623071.525829,169266,12759228.86,33614189.930199,0
1611273600000,2.5442,2.6748,2.4309,2.6208,22876177.83,1611359999999,58853239.151244,139314,11651201.86,30007304.741021,0
1611360000000,2.6207,2.7828,2.5747,2.7028,22166538.13,1611446399999,59378553.470335,130316,10946077.9,29331854.22011,0
1611446400000,2.7028,2.7732,2.6461,2.7135,14726360.6,1611532799999,40079730.295645,89780,7480557.2,20371648.0871,0
1611532800000,2.7135,2.7671,2.6308,2.6481,14815480.94,1611619199999,40250639.410932,96615,7355446.41,19993761.159821,0
1611619200000,2.6483,2.6734,2.5537,2.6278,11431400.81,1611705599999,29872800.243219,80949,5421329.18,14165068.781877,0
1611705600000,2.6278,2.6281,2.4633,2.5001,13739860.94,1611791999999,34831585.853118,95692,6286789.8,15938843.386325,0
1611792000000,2.5013,2.7943,2.4736,2.709,28543070.19,1611878399999,76243141.653944,159411,14534072.45,38866078.462434,0
1611878400000,2.7077,2.9,2.6468,2.7232,42065679.73,1611964799999,116251941.561423,249591,21352314.64,59023717.78421,0
1611964800000,2.7255,3.0989,2.688,2.9319,46687724.55,1612051199999,134910682.80559,287479,23021170.41,66511447.786515,0
1612051200000,2.9314,3.0768,2.7947,2.9297,48808848.44,1612137599999,142995548.362038,288416,23920184.88,70133956.438703,0
1612137600000,2.9298,3.28,2.893,3.055,81454074.44,1612223999999,251617169.495368,413463,39951250.9,123295012.898691,0
1612224000000,3.0549,3.0762,2.953,2.9979,25606816.44,1612310399999,77026448.788754,158825,12792624.57,38473666.315734,0
1612310400000,2.9976,3.1385,2.9846,3.0665,21949660.93,1612396799999,67070966.813793,139418,10806039.32,33012346.650277,0
1612396800000,3.0665,3.1488,2.98,3.0226,24736829.9,1612483199999,75451532.595338,172111,12034667.73,36726720.036274,0
1612483200000,3.0226,3.38,3.0105,3.3128,34894929.5,1612569599999,110998139.209399,224221,17646542.11,56152381.824257,0
1612569600000,3.3148,3.3259,3.1333,3.2092,26168387.51,1612655999999,84229640.55726,184465,12460033.9,40107251.813049,0
1612656000000,3.2103,3.59,3.0251,3.44,71730948.25,1612742399999,239629299.224385,357272,35379574.75,118250345.713202,0
1612742400000,3.44,3.6,3.3503,3.5937,45616122.74,1612828799999,158145067.258663,284408,22283232.22,77296454.57422,0
1612828800000,3.5962,4.3102,3.4803,4.1631,74686340.05,1612915199999,288007700.949001,439678,36844290.01,142068897.464907,0
1612915200000,4.1644,4.5391,3.6333,4.126,92504279.48,1613001599999,381038361.849195,549859,45054218.7,185532013.056148,0
1613001600000,4.1262,4.6738,4.0,4.5833,57897957.72,1613087999999,250714150.87144,379402,28123281.88,121900822.509657,0
1613088000000,4.5799,4.84,4.225,4.7489,52730255.73,1613174399999,240201539.803072,410278,26341122.66,120110753.582414,0
1613174400000,4.7506,5.56,4.49,5.5562,77049397.8,1613260799999,387473887.131321,580776,39037291.08,196458675.65959,0
1613260800000,5.5502,5.6028,4.8614,5.0667,53628704.89,1613347199999,281526575.368388,620695,25990009.58,136554858.123781,0
1613347200000,5.0654,5.2443,4.1244,4.7148,64176584.35,1613433599999,302391300.171801,443520,30923219.32,145899557.072447,0
1613433600000,4.7143,4.972,4.414,4.6447,52643137.62,1613519999999,247982957.597525,317116,25599430.32,120609242.451174,0
1613520000000,4.6438,4.887,4.4211,4.8441,36369451.02,1613606399999,171551543.226517,257180,17596303.83,83014875.015686,0
1613606400000,4.8427,5.007,4.6584,4.8146,32897326.85,1613692799999,159775088.652501,236835,15603291.57,75805052.085979,0
1613692800000,4.815,5.3763,4.65,5.2267,51485574.3,1613779199999,262298329.620398,376403,25564951.26,130324435.95776,0
1613779200000,5.2265,5.4545,4.5186,4.839,51716507.01,1613865599999,267080451.280501,380693,25006867.11,129304810.168753,0
1613865600000,4.84,5.3655,4.7296,5.1008,40374613.6,1613951999999,203941736.776522,348949,19968985.1,100882644.674858,0
1613952000000,5.1008,5.3048,4.099,4.6877,78799750.21,1614038399999,378586220.798845,644000,38330692.42,184267530.322811,0
1614038400000,4.6883,4.7221,3.1862,3.8521,101007395.36,1614124799999,390977884.34895,685943,49728869.33,192260963.827722,0
1614124800000,3.8517,4.1393,3.6775,3.8892,45678448.75,1614211199999,179871539.92158,335781,23161593.43,91267918.731507,0
1614211200000,3.8901,4.0974,3.6238,3.6711,32728301.12,1614297599999,128140701.930806,333388,16057655.82,62914230.896923,0
1614297600000,3.6695,3.7699,3.4,3.5477,38391146.46,1614383999999,137887241.198416,275584,19408305.67,69727510.287357,0
1614384000000,3.5487,3.8398,3.5431,3.6715,24977922.66,1614470399999,92700866.030216,309840,12714126.2,47200181.654399,0
1614470400000,3.6724,3.6996,3.2421,3.4765,31361448.32,1614556799999,108016288.456035,240225,14930816.01,51451480.618734,0
1614556800000,3.4745,3.7587,3.4486,3.7049,22194068.43,1614643199999,79859262.095782,170591,11419149.2,41080246.281519,0
1614643200000,3.7074,3.85,3.563,3.671,25186129.94,1614729599999,92919294.310239,202412,12298610.28,45386019.477603,0
1614729600000,3.6703,4.0655,3.6422,3.8258,35571041.38,1614815999999,138288349.731444,350265,17947756.48,69801869.537832,0
1614816000000,3.8256,3.9249,3.638,3.7483,26425366.93,1614902399999,100304671.926328,249601,12554612.23,47670164.156118,0
1614902400000,3.749,3.7557,3.5563,3.6904,18490563.23,1614988799999,67623998.485092,218736,8995972.58,32916651.496718,0
1614988800000,3.6916,3.7712,3.5976,3.7207,13409844.36,1615075199999,49614113.798841,153019,6522038.24,24134172.095535,0
1615075200000,3.7214,3.8469,3.7154,3.831,16280416.71,1615161599999,61368678.930753,116298,8763532.48,33031291.524101,0
1615161600000,3.8305,3.93,3.7336,3.8981,23014527.54,1615247999999,88285465.141564,174089,11248008.98,43150845.56818,0
1615248000000,3.8991,4.1838,3.85,4.1673,28686527.23,1615334399999,115028301.992857,268791,14621661.45,58670468.903786,0
1615334400000,4.1653,4.188,3.8939,3.991,27216643.27,1615420799999,109876550.715079,218205,13106527.12,52909861.547778,0
1615420800000,3.9893,4.0502,3.7001,3.9532,24375977.23,1615507199999,95979657.955351,233130,11774864.51,46347901.687956,0
1615507200000,3.9536,3.9935,3.6734,3.7828,24719121.33,1615593599999,94887997.990494,242231,12077352.66,46343675.811153,0
1615593600000,3.7822,4.3863,3.6787,4.2816,28813745.27,1615679999999,116173328.413168,245938,13917011.56,56157020.27641,0
1615680000000,4.2827,4.3846,3.9255,3.9256,26674595.9,1615766399999,110493978.35432,440797,12807538.36,53046775.349099,0
1615766400000,3.9256,4.0337,3.715,3.8169,27198247.86,1615852799999,104925642.243517,190520,13032303.26,50292907.545,0
1615852800000,3.8143,4.1343,3.6715,4.0661,31898121.62,1615939199999,126450751.466297,342313,16039201.86,63599370.099151,0
1615939200000,4.0668,4.0947,3.8542,4.0867,21834414.44,1616025599999,86682376.424898,271838,11122088.87,44151822.389642,0
1616025600000,4.0872,4.3269,4.0549,4.1434,29844241.14,1616111999999,124679783.388319,229094,13996670.23,58440210.063158,0
1616112000000,4.1443,4.267,4.026,4.1375,20296052.87,1616198399999,84982971.27752,353154,9998037.0,41880756.69518,0
1616198400000,4.1379,4.5,4.1239,4.3278,26162178.0,1616284799999,114125131.422767,288879,12521906.9,54626002.724559,0
1616284800000,4.3281,4.4179,4.1162,4.1536,26100800.89,1616371199999,110382622.100309,359434,12955172.47,54763580.778869,0
1616371200000,4.1538,4.3497,3.9985,4.0777,28219839.97,1616457599999,118629593.897481,371877,13500588.83,56757842.660616,0
1616457600000,4.0777,4.2666,4.0381,4.0899,22909573.87,1616543999999,94799441.474536,377437,11493561.42,47569466.888274,0
1616544000000,4.0878,4.3096,3.4544,3.6938,33240602.47,1616630399999,132757022.073426,268538,15628621.08,62500531.881735,0
1616630400000,3.6919,3.7817,3.5305,3.6745,28486210.88,1616716799999,104855094.327223,299952,14060170.2,51788991.024476,0
1616716800000,3.6723,4.1929,3.6698,4.1849,33419274.18,1616803199999,132989193.58037,276587,17682844.58,70323050.575756,0
1616803200000,4.1857,4.2,3.9765,4.0912,16487912.15,1616889599999,67404542.824908,186491,8220145.96,33609787.971149,0
1616889600000,4.0898,4.2154,4.0317,4.1106,15714660.79,1616975999999,64921073.670574,159043,7604238.2,31431596.203455,0
1616976000000,4.1105,4.3121,4.064,4.2785,19360839.99,1617062399999,81790067.576143,211052,9756886.23,41220711.300874,0
1617062400000,4.2786,4.4068,4.2073,4.3361,19014503.23,1617148799999,81836825.413713,185525,9642487.18,41504953.470729,0
1617148800000,4.3371,4.9085,4.0627,4.8021,50494289.94,1617235199999,226231860.719937,518890,25538838.41,114491330.614257,0
1617235200000,4.8018,5.9847,4.708,5.5947,91899102.98,1617321599999,483848109.082331,974693,47189634.45,248447626.446731,0
1617321600000,5.5966,6.3559,5.3641,6.2557,91016938.14,1617407999999,530521838.125046,1037063,44605586.31,260032407.626963,0
1617408000000,6.2526,6.4867,5.2077,5.4107,80619950.47,1617494399999,477840811.990201,804628,39040787.63,231534952.18072,0
1617494400000,5.4107,6.3,5.33,6.28,57685148.82,1617580799999,336505926.631639,563238,28392430.71,165881256.54123,0
1617580800000,6.28,7.0817,5.8303,6.6959,82205391.71,1617667199999,528346241.921413,844888,40528388.63,260016392.906466,0
1617667200000,6.6983,7.1,6.1973,6.6436,67368981.92,1617753599999,448276047.956044,824943,33972837.27,226130399.813635,0
1617753600000,6.6436,7.0549,5.7221,5.8824,66141509.12,1617839999999,416879559.710467,877827,33041590.75,208395157.256429,0
1617840000000,5.8812,6.4736,5.8041,6.442,29919017.72,1617926399999,184894703.867445,324839,15448676.26,95539900.725767,0
1617926400000,6.4403,6.6011,6.07,6.2072,22024528.91,1618012799999,139374799.585882,282193,11003918.12,69589893.46315,0
1618012800000,6.2082,6.762,6.1489,6.6137,29718846.38,1618099199999,191778184.18768,377802,14628433.03,94438340.304671,0
1618099200000,6.6137,7.0684,6.5526,6.7266,41297143.35,1618185599999,280690918.327656,563849,20747522.64,141023527.032029,0
1618185600000,6.7266,6.865,6.2911,6.4775,24654068.11,1618271999999,162708414.262025,292040,12094554.79,79799466.229633,0
1618272000000,6.4759,7.549,6.4194,7.3816,48379475.85,1618358399999,342914858.511385,582937,24487120.6,173208737.474391,0
1618358400000,7.3797,8.0841,7.0382,7.6652,76637404.79,1618444799999,583571166.025627,1266962,38432721.83,292791075.77254,0
1618444800000,7.6648,7.9253,7.2839,7.8873,34988131.53,1618531199999,266600945.698052,400277,17855328.27,136084321.641064,0
1618531200000,7.8841,8.7499,7.0714,8.4974,84992024.62,1618617599999,674623051.849988,1196471,43409762.77,344793400.342119,0
1618617600000,8.4964,8.8465,7.5956,7.7859,59682689.57,1618703999999,492131165.646937,752516,29940151.84,246999840.649365,0
1618704000000,7.7786,7.954,5.8655,7.2854,84548001.96,1618790399999,573633501.386903,772047,42554277.5,288759867.566978,0
1618790400000,7.282,7.4987,6.4831,6.6005,54389682.92,1618876799999,378866108.578282,569584,27876217.19,194392105.806809,0
1618876800000,6.6014,6.8543,6.056,6.6944,43365500.85,1618963199999,281560629.651976,473479,21948887.98,142579516.175433,0
1618963200000,6.6933,6.8969,6.23,6.3226,38961209.02,1619049599999,255817484.166871,435006,19463273.73,127792076.760251,0
1619049600000,6.3192,6.8212,5.5883,5.855,57181817.74,1619135999999,364002280.206226,632899,28385160.66,180770191.90753,0
1619136000000,5.8563,5.9996,4.47,5.5746,80103913.55,1619222399999,417182496.147156,573600,39271588.44,204680694.53826,0
1619222400000,5.5734,5.6513,5.0233,5.085,37332457.07,1619308799999,196542713.354982,278127,19056516.28,100335604.351359,0
1619308800000,5.0867,5.464,4.6127,4.9992,32092162.14,1619395199999,164276244.169885,301134,16149283.09,82731154.467407,0
1619395200000,5.0008,5.9171,4.924,5.8627,52923986.71,1619481599999,292099690.903278,499140,27474987.82,151668295.562563,0
