open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1641168000000,3.251,3.26,2.663,2.793,110065199.4,1641772799999,324010821.2017,934500,53238718.5,156801465.9832,0
1641772800000,2.793,2.955,2.576,2.903,72109714.5,1642377599999,202152759.4,537513,35433849.3,99364740.4457,0
1642377600000,2.904,2.935,2.011,2.273,145551928.72,1642982399999,356837636.910032,872290,71879698.12,176305794.35977,0
1642982400000,2.272,2.382,1.99,2.317,112179217.55,1643587199999,246867989.697409,650894,56121786.3,123470567.9072,0
1643587200000,2.316,2.561,2.206,2.538,76907949.6,1644191999999,182943610.082,513064,38718855.1,92119337.3672,0
1644192000000,2.537,2.768,2.333,2.379,90435427.7,1644796799999,233919448.8133,654774,44763115.2,115871874.1136,0
1644796800000,2.38,2.582,2.168,2.199,73606259.9,1645401599999,174014152.4219,460831,36037105.1,85303197.3533,0
1645401600000,2.198,2.3,1.86,2.092,139501958.21,1646006399999,292720608.845306,635539,68900970.0,144514211.9987,0
1646006400000,2.091,2.313,1.946,1.962,94443881.7,1646611199999,202954484.6036,473724,46841417.8,100734562.175,0
1646611200000,1.961,2.101,1.87,1.906,81356605.4,1647215999999,161290424.3717,349992,40311506.3,79923149.6637,0
1647216000000,1.906,2.277,1.883,2.214,70984163.8,1647820799999,147056980.9459,358372,35974863.8,74536841.8701,0
1647820800000,2.215,2.674,2.146,2.67,150273179.6,1648425599999,370179804.3603,859815,74821373.5,184318744.4973,0
1648425600000,2.669,3.22,2.644,2.84,194764312.7,1649030399999,565822871.6332,1487098,96597971.4,280722922.3772,0
1649030400000,2.841,2.943,2.345,2.361,119707280.2,1649635199999,312781067.4561,763241,58651239.4,153337481.9163,0
1649635200000,2.362,2.686,2.118,2.418,121109496.3,1650239999999,289407841.1761,650716,59746185.3,142706879.9065,0
1650240000000,2.418,2.886,2.296,2.35,183031230.9,1650844799999,473446552.3432,1001748,90545749.0,234243155.5243,0
1650844800000,2.349,2.45,1.913,2.11,122290918.8,1651449599999,274285376.4366,643499,61472667.3,137861860.0188,0
1651449600000,2.109,2.251,1.928,1.95,105881524.7,1652054399999,217437770.9995,471834,52635829.5,108120481.7198,0
1652054400000,1.951,1.977,1.11,1.406,284529065.98,1652659199999,427630114.043423,1214854,141605199.8,213038137.6554,0
1652659200000,1.406,1.409,1.224,1.355,100185215.8,1653263999999,131943179.9271,427746,49924427.6,65753944.2866,0
1653264000000,1.354,1.438,1.187,1.294,103244372.0,1653868799999,132957526.1214,402565,51796052.3,66713590.7907,0
1653868800000,1.293,1.407,1.233,1.27,81763049.2,1654473599999,107686360.0753,327810,40408045.3,53209937.3513,0
1654473600000,1.269,1.334,1.029,1.03,83170407.01,1655078399999,99884205.6695,350370,41156554.6,49457333.9216,0
1655078400000,1.03,1.07,0.815,0.968,169293639.05,1655683199999,156532275.8239,572899,84615348.0,78315289.1692,0
1655683200000,0.968,1.04,0.918,0.99,73689208.8,1656287999999,71846562.5442,254801,36301594.3,35400792.9531,0
1656288000000,0.989,1.028,0.869,0.944,57800014.8,1656892799999,54603304.3595,191286,28019545.4,26468016.7503,0
1656892800000,0.945,1.071,0.92,1.003,49731881.1,1657497599999,49520684.8623,160637,24105521.8,24003111.7936,0
1657497600000,1.004,1.025,0.887,0.984,58856638.1,1658102399999,56687760.8441,182044,28369232.3,27343811.7245,0
1658102400000,0.985,1.266,0.983,1.203,139295553.4,1658707199999,156254312.06,468918,67477771.3,75659937.8912,0
1658707200000,1.203,1.449,1.066,1.331,122195439.1,1659311999999,153047517.4841,475519,59282477.7,74319299.1503,0
1659312000000,1.332,1.37,1.148,1.229,90573954.3,1659916799999,110710746.6197,317465,47602145.9,58082882.0269,0
1659916800000,1.229,1.411,1.148,1.306,77293214.7,1660521599999,98740514.7498,300315,39691013.2,50655037.4673,0
1660521600000,1.305,1.837,1.241,1.57,268048673.0,1661126399999,389575488.8843,996846,132256360.8,192038574.8232,0
1661126400000,1.569,1.948,1.411,1.426,282974188.8,1661731199999,478748688.5635,1187319,139025876.3,235581763.7576,0
1661731200000,1.426,1.601,1.343,1.492,116403094.3,1662335999999,171602729.4114,509723,56323002.0,83083828.84,0
1662336000000,1.492,1.868,1.361,1.713,185295997.5,1662940799999,303911703.1154,889486,91455195.1,150154660.6013,0
1662940800000,1.712,1.776,1.239,1.274,135158814.7,1663545599999,201617196.7469,599246,67861495.3,101274958.7315,0
1663545600000,1.273,1.384,1.143,1.165,140927356.0,1664150399999,176489816.0714,474371,72219728.8,90424951.0484,0
1664150400000,1.165,1.235,1.102,1.16,95909976.0,1664755199999,113720800.2553,347839,48972065.3,58138435.1608,0
1664755200000,1.16,1.211,1.089,1.121,49321828.5,1665359999999,57274958.4383,133455,25221704.9,29300248.9355,0
1665360000000,1.121,1.132,0.937,1.05,75703875.2,1665964799999,78152869.5123,211092,38198948.0,39444866.6328,0
1665964800000,1.05,1.1,0.992,1.095,65075255.2,1666569599999,68472329.6545,175742,32208047.2,33896664.2938,0
1666569600000,1.095,1.164,1.052,1.109,79611368.3,1667174399999,89427614.0667,217376,39771467.0,44683257.7913,0
1667174400000,1.11,1.219,1.096,1.113,82955808.6,1667779199999,96006633.7274,242402,42261378.1,48939911.7234,0
1667779200000,1.112,1.154,0.788,0.883,142423165.52,1668383999999,135446480.2966,420260,67952301.4,64694051.0038,0
1668384000000,0.884,0.951,0.83,0.871,50088957.1,1668988799999,45233638.476,157842,25656106.0,23170953.0244,0
1668988800000,0.872,1.02,0.827,0.929,68394411.0,1669593599999,62555077.0671,190261,33523806.9,30699709.6521,0
1669593600000,0.929,0.955,0.884,0.93,43951643.8,1670198399999,40678091.6653,118487,21653999.4,20045688.0574,0
1670198400000,0.931,1.067,0.918,1.004,97273091.7,1670803199999,96966708.3553,239292,48128260.6,47949815.8774,0
1670803200000,1.003,1.018,0.855,0.882,66655630.8,1671407999999,63522195.0888,172085,32360190.3,30804940.842,0
1671408000000,0.883,0.9,0.83,0.878,60316631.0,1672012799999,52973449.4821,158457,30078253.5,26412617.5445,0
1672012800000,0.877,0.906,0.844,0.879,33852189.2,1672617599999,29635781.0798,89473,16735789.8,14649323.065,0
1672617600000,0.88,0.915,0.866,0.911,30527408.3,1673222399999,27165766.9981,94343,16046249.3,14282203.095,0
1673222400000,0.911,1.095,0.909,1.063,70238061.2,1673827199999,70143634.2829,231458,35965593.3,35901328.5718,0
1673827200000,1.063,1.131,0.934,1.082,63696455.8,1674431999999,65682628.3527,222036,30519516.1,31456527.8069,0
