open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672509600000,0.865,0.869,0.86,0.862,494591.4,1672531199999,427821.646,1673,266431.9,230464.5996,0
1672531200000,0.862,0.863,0.856,0.858,744462.6,1672552799999,640032.2208,1933,312871.7,269089.2668,0
1672552800000,0.858,0.867,0.858,0.865,528082.9,1672574399999,454975.8883,1555,281632.3,242673.7457,0
1672574400000,0.866,0.871,0.865,0.871,519925.9,1672595999999,451082.6759,1425,280314.0,243272.7949,0
1672596000000,0.87,0.883,0.87,0.879,897017.7,1672617599999,787821.6908,2680,488842.6,429423.7341,0
1672617600000,0.88,0.884,0.866,0.882,1229226.2,1672639199999,1076136.2417,4053,667790.0,584753.1251,0
1672639200000,0.882,0.899,0.879,0.888,1670523.9,1672660799999,1483662.082,5111,921816.3,818522.9383,0
1672660800000,0.888,0.891,0.882,0.886,790506.7,1672682399999,701040.8142,2622,393319.1,348896.6687,0
1672682400000,0.886,0.891,0.879,0.882,675664.4,1672703999999,597797.0691,1945,303293.4,268588.607,0
1672704000000,0.882,0.885,0.876,0.885,968967.7,1672725599999,853476.0484,2875,537782.3,473915.34,0
1672725600000,0.885,0.888,0.879,0.881,954049.5,1672747199999,842351.7918,2511,523658.1,462451.7739,0
1672747200000,0.881,0.885,0.869,0.872,1777332.7,1672768799999,1556502.6449,5444,942518.7,825931.5734,0
1672768800000,0.872,0.882,0.87,0.88,801726.0,1672790399999,701403.1703,2507,429265.5,375648.4457,0
1672790400000,0.88,0.905,0.877,0.901,1553378.5,1672811999999,1387635.4459,5136,831437.0,742784.3938,0
1672812000000,0.901,0.906,0.898,0.899,809350.2,1672833599999,729429.1404,2524,434349.7,391511.1282,0
1672833600000,0.9,0.911,0.891,0.908,1404921.7,1672855199999,1265806.3119,5504,766121.6,690700.2584,0
1672855200000,0.907,0.915,0.897,0.907,1313385.4,1672876799999,1191621.2032,5526,655882.0,595466.4182,0
1672876800000,0.908,0.911,0.9,0.909,892507.4,1672898399999,808050.4208,3205,445479.4,403490.8122,0
1672898400000,0.908,0.909,0.893,0.901,1084600.6,1672919999999,975033.001,4372,535405.6,481319.3666,0
1672920000000,0.901,0.901,0.886,0.892,1020539.0,1672941599999,910831.8654,2949,500139.4,446358.5869,0
1672941600000,0.891,0.897,0.886,0.892,674950.4,1672963199999,602212.5412,2107,354888.6,316755.2323,0
1672963200000,0.892,0.899,0.888,0.89,727166.3,1672984799999,649358.1162,2296,387611.8,346153.6356,0
1672984800000,0.889,0.89,0.87,0.876,1274052.0,1673006399999,1119242.9097,4269,591588.4,519466.1084,0
1673006400000,0.875,0.886,0.87,0.884,1256631.4,1673027999999,1104087.554,4091,642528.1,564497.8979,0
1673028000000,0.884,0.897,0.884,0.895,1119969.5,1673049599999,999619.4262,3873,539719.4,481759.8599,0
1673049600000,0.896,0.898,0.892,0.894,667901.7,1673071199999,597627.3562,2063,339069.4,303446.2315,0
1673071200000,0.894,0.901,0.893,0.898,802993.9,1673092799999,720740.1751,2166,439891.7,394896.0914,0
1673092800000,0.897,0.899,0.89,0.892,749437.0,1673114399999,670429.4783,2010,327519.2,293117.1265,0
1673114400000,0.892,0.896,0.883,0.891,1648888.6,1673135999999,1468253.4863,3172,1142111.4,1017765.4402,0
1673136000000,0.89,0.891,0.881,0.887,1212671.5,1673157599999,1072852.1713,2768,608006.8,537931.1823,0
1673157600000,0.887,0.892,0.885,0.886,781760.9,1673179199999,694020.5635,1775,368838.7,327456.3683,0
1673179200000,0.886,0.899,0.884,0.889,1256087.4,1673200799999,1119223.5787,3161,657083.2,585390.6911,0
1673200800000,0.89,0.913,0.887,0.911,1408217.8,1673222399999,1267322.3904,4308,759134.5,683227.7932,0
1673222400000,0.911,0.943,0.909,0.937,2662147.4,1673243999999,2474833.4671,8902,1342335.8,1247401.5395,0
1673244000000,0.938,0.947,0.931,0.939,1540065.8,1673265599999,1445510.3865,5391,747664.2,702057.5264,0
1673265600000,0.938,0.949,0.926,0.945,2826747.9,1673287199999,2657221.6505,8377,1401967.5,1318356.0358,0
1673287200000,0.945,0.949,0.922,0.936,2131333.2,1673308799999,1991872.355,6607,1016957.1,950506.1634,0
1673308800000,0.935,0.955,0.924,0.95,1813184.8,1673330399999,1705212.7521,6909,919044.3,864198.8424,0
1673330400000,0.949,0.953,0.941,0.945,1194847.7,1673351999999,1131581.1777,4164,653483.5,619134.1448,0
1673352000000,0.944,0.947,0.935,0.942,1586427.9,1673373599999,1493494.4787,5018,814611.1,766969.7945,0
1673373600000,0.942,0.952,0.942,0.947,932633.1,1673395199999,883329.9348,3383,474491.8,449483.098,0
1673395200000,0.947,0.953,0.932,0.948,1113679.5,1673416799999,1052376.872,4361,623932.0,589557.0926,0
1673416800000,0.947,0.952,0.942,0.949,684685.0,1673438399999,648800.2316,2612,306993.2,290989.6747,0
1673438400000,0.95,0.95,0.937,0.943,1053698.6,1673459999999,994146.6901,3795,584177.1,551312.2312,0
1673460000000,0.942,0.996,0.942,0.978,3627822.6,1673481599999,3519773.0821,14660,2019472.6,1958931.197,0
1673481600000,0.978,0.988,0.965,0.967,2183594.4,1673503199999,2133937.6989,7212,1107300.3,1082479.5807,0
1673503200000,0.967,0.973,0.96,0.963,1098098.1,1673524799999,1060976.6318,3537,541736.8,523622.1942,0
1673524800000,0.962,0.993,0.933,0.99,5721212.5,1673546399999,5537356.9847,17722,2907583.8,2816120.218,0
1673546400000,0.989,1.001,0.977,0.99,4373150.8,1673567999999,4329680.309,9193,2420035.3,2397552.5058,0
1673568000000,0.99,1.002,0.975,0.982,1797616.6,1673589599999,1774959.0132,5533,851498.1,840850.2699,0
1673589600000,0.982,0.99,0.974,0.978,1485168.5,1673611199999,1460287.8338,4245,758051.6,745344.2424,0
1673611200000,0.977,0.99,0.967,0.984,1763661.8,1673632799999,1728770.505,6474,1059859.3,1038589.8233,0
1673632800000,0.984,1.017,0.978,1.012,1802734.9,1673654399999,1802989.4171,7141,994953.8,994430.2462,0
1673654400000,1.011,1.072,1.005,1.056,6396695.5,1673675999999,6697178.8251,20639,3180411.7,3326843.2806,0
1673676000000,1.056,1.084,1.006,1.043,6493547.9,1673697599999,6776784.438,22518,3293806.3,3438971.6857,0
1673697600000,1.044,1.059,1.02,1.049,3572365.5,1673719199999,3724844.9392,11040,1919440.6,2000364.4185,0
1673719200000,1.05,1.055,1.038,1.052,1600830.8,1673740799999,1674658.0769,4721,641856.1,671740.2273,0
1673740800000,1.052,1.095,1.028,1.064,5320319.1,1673762399999,5658834.6476,19679,2729230.0,2903509.6771,0
1673762400000,1.064,1.068,1.046,1.064,1805291.5,1673783999999,1906032.6331,6404,874465.3,923321.245,0
1673784000000,1.063,1.071,1.05,1.061,2487355.0,1673805599999,2637072.1112,7208,1156410.4,1226399.6098,0
1673805600000,1.061,1.066,1.051,1.063,1169144.8,1673827199999,1241117.1401,4013,623823.7,662292.007,0
1673827200000,1.063,1.079,1.053,1.076,1883695.4,1673848799999,2012804.7974,6358,1090451.0,1165174.5598,0
1673848800000,1.076,1.078,1.005,1.033,3703136.9,1673870399999,3850453.0191,10487,1731308.3,1801516.9417,0
1673870400000,1.032,1.037,1.008,1.033,2072177.5,1673891999999,2131050.9469,7248,1051169.5,1081908.9465,0
1673892000000,1.033,1.045,1.03,1.037,1558629.9,1673913599999,1616339.8992,5209,780197.4,809152.5594,0
