open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1546272000000,5.1412,5.175,5.0805,5.1101,27099.37,1546279199999,138881.518354,666,15791.46,81002.684537,0
1546279200000,5.1101,5.1285,4.8481,4.9419,47549.42,1546286399999,236809.332281,1339,19130.73,95288.804768,0
1546286400000,4.9355,4.9438,4.865,4.9099,28418.1,1546293599999,139152.429172,755,13694.38,67061.250902,0
1546293600000,4.9,4.9837,4.8741,4.9798,14872.27,1546300799999,73418.590683,501,7260.69,35842.840233,0
1546300800000,4.983,5.0107,4.9474,4.9597,10528.45,1546307999999,52364.46658,404,4292.16,21352.249375,0
1546308000000,4.9659,4.9819,4.9254,4.9819,10030.72,1546315199999,49688.404906,302,3509.91,17402.179673,0
1546315200000,4.9826,5.1127,4.981,5.0473,27925.09,1546322399999,140743.140763,643,14982.12,75555.121275,0
1546322400000,5.0522,5.0866,5.004,5.0728,23503.98,1546329599999,118638.555594,464,12686.63,64074.41561,0
1546329600000,5.072,5.13,5.05,5.0553,23051.66,1546336799999,117503.441168,511,11843.34,60436.005848,0
1546336800000,5.0621,5.0825,5.0272,5.046,6956.66,1546343999999,35181.674496,217,3726.52,18864.435957,0
1546344000000,5.0413,5.0945,5.0311,5.0564,6552.93,1546351199999,33164.278109,284,3138.52,15890.202052,0
1546351200000,5.0532,5.0629,4.986,4.9917,15554.69,1546358399999,78156.293372,464,6284.6,31592.704075,0
1546358400000,4.9969,5.0232,4.9776,5.0058,12962.12,1546365599999,64752.839111,350,6064.82,30292.706821,0
1546365600000,5.0038,5.0679,4.9275,5.0376,15631.21,1546372799999,77938.96434,633,8269.33,41275.742926,0
1546372800000,5.0355,5.1176,5.0228,5.0589,39370.47,1546379999999,199849.838757,816,22917.66,116350.709449,0
1546380000000,5.0676,5.252,5.0615,5.252,68965.7,1546387199999,353423.163796,1327,43933.38,225147.924401,0
1546387200000,5.2354,5.2572,5.1546,5.1641,52999.41,1546394399999,275751.031706,834,30274.62,157608.714964,0
1546394400000,5.1583,5.1938,5.1445,5.1635,6537.52,1546401599999,33791.863424,237,3564.9,18431.057789,0
1546401600000,5.1698,5.1812,5.15,5.1617,10529.41,1546408799999,54418.61036,211,6011.47,31080.449578,0
1546408800000,5.1616,5.1913,5.1072,5.1769,20924.2,1546415999999,107966.485939,431,7620.98,39356.623102,0
1546416000000,5.1868,5.2418,5.1777,5.1943,40861.85,1546423199999,212835.677959,781,17814.32,92811.685597,0
1546423200000,5.1912,5.27,5.1827,5.2449,63071.41,1546430399999,330484.319039,855,20734.22,108569.626923,0
1546430400000,5.2469,5.334,5.2215,5.321,43873.8,1546437599999,231696.739935,807,22967.36,121478.592951,0
1546437600000,5.321,5.3313,5.2351,5.2662,74605.71,1546444799999,394052.957965,978,29737.16,157047.797127,0
1546444800000,5.2666,5.3415,5.2542,5.2936,52484.81,1546451999999,278274.588737,1030,27144.67,144025.278439,0
1546452000000,5.2941,5.3166,5.2478,5.3024,23208.79,1546459199999,122444.936225,771,10309.3,54392.822939,0
1546459200000,5.3062,5.3832,5.2803,5.3455,54505.3,1546466399999,290614.434473,1364,23779.35,126904.031733,0
1546466400000,5.3537,5.3812,5.2919,5.32,38601.58,1546473599999,205962.701023,1203,15836.72,84550.975282,0
1546473600000,5.3216,5.3393,5.25,5.2711,32537.27,1546480799999,171689.964457,894,10198.13,53790.654706,0
1546480800000,5.2749,5.2959,5.2521,5.2755,11791.99,1546487999999,62264.340163,429,4529.16,23936.067688,0
1546488000000,5.2846,5.3099,5.2292,5.2599,21468.91,1546495199999,113027.702554,795,10281.58,54173.599684,0
1546495200000,5.2565,5.2807,5.2277,5.2374,13080.58,1546502399999,68694.501254,475,7705.35,40493.005139,0
1546502400000,5.2431,5.2432,5.13,5.1655,34869.72,1546509599999,180623.130718,965,14194.72,73492.523056,0
1546509600000,5.163,5.1882,5.0543,5.0835,41888.05,1546516799999,214708.841167,1170,17014.8,87312.950429,0
1546516800000,5.0864,5.1227,5.0669,5.1153,47474.68,1546523999999,242014.231327,936,29009.79,147984.794822,0
1546524000000,5.1175,5.1231,5.0715,5.0963,28959.56,1546531199999,147476.321268,603,13173.88,67096.104945,0
1546531200000,5.093,5.0996,4.9314,5.0113,69512.49,1546538399999,347464.235609,1355,34593.94,172961.212722,0
1546538400000,5.0043,5.0374,4.9332,4.9479,59394.49,1546545599999,295687.620923,999,30983.14,154507.045233,0
1546545600000,4.95,5.0351,4.9403,4.9984,30321.48,1546552799999,151045.793822,655,19298.04,96155.665384,0
1546552800000,5.0005,5.02,4.9706,4.9982,16283.35,1546559999999,81334.237568,374,7762.61,38791.118918,0
1546560000000,4.9982,5.0179,4.9526,5.0124,30564.77,1546567199999,152199.154592,567,14824.99,73868.742922,0
1546567200000,5.0129,5.0934,4.9756,5.0847,45699.74,1546574399999,229311.084144,813,23338.05,117172.763193,0
1546574400000,5.0886,5.128,5.0546,5.1249,41852.37,1546581599999,212961.75348,803,19816.67,100837.687005,0
1546581600000,5.1248,5.1578,5.0929,5.093,48726.15,1546588799999,249697.533575,854,19226.22,98534.134041,0
1546588800000,5.0878,5.098,5.0004,5.0084,35896.39,1546595999999,181228.650626,669,14885.76,75245.882216,0
1546596000000,5.0137,5.0579,4.9952,5.0054,34881.43,1546603199999,175429.285281,610,20382.38,102534.257278,0
1546603200000,5.0065,5.0326,4.9913,4.9918,34427.38,1546610399999,172470.731702,549,18331.06,91852.179406,0
1546610400000,4.9918,5.0436,4.9543,5.0135,58892.5,1546617599999,294216.595124,1114,29370.55,146743.870831,0
1546617600000,5.0134,5.12,4.9923,5.0379,47646.92,1546624799999,241045.516512,844,21930.16,110978.089881,0
1546624800000,5.0379,5.0515,5.0057,5.0379,21581.49,1546631999999,108437.722533,431,10471.98,52624.314058,0
1546632000000,5.0379,5.2549,5.0335,5.18,82778.06,1546639199999,428049.689373,1579,38150.99,197218.967059,0
1546639200000,5.1801,5.2126,5.13,5.1894,48387.09,1546646399999,250235.146516,742,27339.81,141312.452055,0
1546646400000,5.1926,5.2567,5.153,5.1764,57988.9,1546653599999,301530.726817,1121,28985.83,150795.767404,0
1546653600000,5.1735,5.213,5.1573,5.184,45956.44,1546660799999,238507.975461,711,19098.03,99074.423897,0
1546660800000,5.184,5.209,5.1549,5.1812,25133.52,1546667999999,130353.838187,520,12478.46,64765.924592,0
1546668000000,5.174,5.1842,5.05,5.06,60180.68,1546675199999,307645.742804,882,28975.45,148008.705909,0
1546675200000,5.0689,5.0998,5.0674,5.0856,25141.59,1546682399999,127811.624895,470,8327.64,42325.349628,0
1546682400000,5.0851,5.1473,5.0523,5.1387,27467.94,1546689599999,140102.712071,546,13288.29,67797.891099,0
1546689600000,5.1402,5.167,5.1014,5.1346,49449.3,1546696799999,254021.2181,670,26950.64,138566.268375,0
1546696800000,5.1333,5.19,5.1121,5.1472,56766.7,1546703999999,292411.924826,823,28254.46,145618.955027,0
1546704000000,5.15,5.1781,5.1211,5.1467,33714.95,1546711199999,173626.094299,547,13527.26,69688.598998,0
1546711200000,5.1423,5.17,5.13,5.1437,23671.29,1546718399999,121853.133758,487,9784.62,50398.059722,0
1546718400000,5.1462,5.1532,5.0943,5.1252,22786.45,1546725599999,116839.202664,488,11904.67,61069.179445,0
1546725600000,5.1246,5.1309,5.0301,5.0564,49242.91,1546732799999,249880.114204,996,23808.77,120882.960507,0
1546732800000,5.0511,5.1319,5.0323,5.051,35972.79,1546739999999,183123.314117,563,21421.14,109266.369338,0
1546740000000,5.051,5.096,5.0199,5.0814,37127.21,1546747199999,188224.081955,665,18590.36,94222.507105,0
1546747200000,5.0814,5.1195,5.0701,5.1122,14299.52,1546754399999,72861.104188,237,7690.5,39193.538351,0
1546754400000,5.1121,5.114,5.0597,5.1014,19019.66,1546761599999,96880.916834,332,7903.52,40255.5137,0
