open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1641168000000,35.39,35.4,28.37,29.73,6017403.62,1641772799999,190240504.8745,437057,2954113.24,93326034.6187,0
1641772800000,29.73,33.5,27.26,32.28,6494815.999,1642377599999,199797234.573747,395328,3249041.21,99897736.7567,0
1642377600000,32.28,34.74,21.2,25.13,17647354.85,1642982399999,498592627.012577,840152,8813103.584,248882139.53572,0
1642982400000,25.12,26.32,21.69,24.91,9918964.26,1643587199999,237843823.1221,529366,4883182.05,117149459.6812,0
1643587200000,24.91,30.2,23.99,29.89,8069973.33,1644191999999,223169211.0863,493138,4083343.14,112937737.9918,0
1644192000000,29.89,37.58,29.32,32.47,16170620.16,1644796799999,546533178.4025,1100196,8040200.15,271641747.3462,0
1644796800000,32.47,33.67,26.82,27.23,8777654.47,1645401599999,267624900.4971,577501,4402067.71,134308314.1499,0
1645401600000,27.24,29.75,23.32,27.36,12380549.78,1646006399999,330443075.5267,715007,6143275.89,163830621.6337,0
1646006400000,27.36,31.59,26.47,26.55,8494274.09,1646611199999,248726184.7504,561233,4187487.28,122620826.133,0
1646611200000,26.55,28.73,25.1,25.36,5530611.34,1647215999999,147870930.6741,329395,2745399.45,73389132.6319,0
1647216000000,25.36,40.9,25.0,38.17,19370366.1,1647820799999,656632929.5458,1188644,9411713.35,318896441.2129,0
1647820800000,38.18,50.6,36.09,48.0,44261493.77,1648425599999,1987035894.4837,2894759,22303374.13,1001128821.3012,0
1648425600000,48.0,52.66,42.8,46.71,32120324.62,1649030399999,1550127088.8862,2112775,16069037.34,775482777.4569,0
1649030400000,46.71,48.64,37.9,40.32,20686338.23,1649635199999,889763620.2207,1501504,10298155.91,442757957.4526,0
1649635200000,40.32,40.54,35.74,36.6,11055139.07,1650239999999,419254270.2542,754622,5553893.03,210710682.66,0
1650240000000,36.59,38.15,33.39,33.63,8197570.81,1650844799999,294881563.8166,566117,4025015.33,144782365.0387,0
1650844800000,33.63,34.12,24.5,27.66,7836751.11,1651449599999,235777534.2737,554794,3892726.82,117102099.0313,0
1651449600000,27.66,33.04,26.11,26.52,9344401.91,1652054399999,265192186.8484,597249,4578082.2,129963291.3967,0
1652054400000,26.53,27.21,16.02,22.16,16523746.538,1652659199999,355983566.490108,1062584,8197477.11,176563566.7271,0
1652659200000,22.15,22.84,19.41,21.08,4485343.56,1653263999999,93470949.09,342905,2214738.68,46184660.0811,0
1653264000000,21.08,25.69,20.66,23.67,14284667.31,1653868799999,327579473.3138,776036,7134073.39,163356128.5321,0
1653868800000,23.67,25.16,21.27,21.82,5829550.43,1654473599999,135362148.9585,335645,2858484.19,66329621.2316,0
1654473600000,21.82,23.42,16.54,16.56,4869596.11,1655078399999,98253050.9819,279418,2435757.84,49028319.0386,0
1655078400000,16.56,16.96,12.47,15.37,12721710.669,1655683199999,182677081.456524,704418,6296876.8,90439118.2175,0
