open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672617600000,15.79,19.85,15.47,19.2,4618856.11,1672876799999,82302347.6837,211194,2319631.34,41246693.2903,0
1672876800000,19.2,20.78,17.75,20.03,6363659.96,1673135999999,122142535.2007,286404,3145346.41,60376890.6212,0
1673136000000,20.02,21.82,19.54,20.23,6469007.0,1673395199999,132497670.9941,256895,3236238.77,66301198.6724,0
1673395200000,20.24,22.05,19.44,21.62,5414257.77,1673654399999,111708002.5029,223888,2658138.56,54906098.7155,0
1673654400000,21.62,23.9,21.18,21.87,5113430.82,1673913599999,114534006.7432,296099,2506084.3,56173527.089,0
1673913600000,21.86,22.58,20.02,20.73,3468892.57,1674172799999,74374150.1734,210674,1613138.1,34615154.0119,0
1674172800000,20.74,23.65,20.52,22.55,3393791.38,1674431999999,75363624.357,211992,1681553.36,37341294.0014,0
1674432000000,22.55,23.9,20.5,21.84,4021510.37,1674691199999,89680083.5613,205690,1874167.0,41863850.9148,0
1674691200000,21.85,22.38,21.21,21.72,2139404.82,1674950399999,46791742.7324,121005,1007883.74,22049160.5368,0
1674950400000,21.71,23.56,20.8,21.69,3594850.08,1675209599999,79413696.8342,176183,1732900.52,38314320.8999,0
1675209600000,21.68,24.17,20.98,23.17,5456585.73,1675468799999,124702842.0254,243897,2693603.01,61611043.1388,0
1675468800000,23.17,24.95,21.89,22.13,5116982.37,1675727999999,119669703.3996,218248,2498597.33,58464246.4539,0
1675728000000,22.12,23.38,20.34,20.9,3581439.35,1675987199999,79881527.9378,166047,1718957.84,38360609.2275,0
1675987200000,20.9,21.64,20.72,21.06,2310824.49,1676246399999,48965191.8038,115479,1133690.04,24035225.1239,0
1676246400000,21.05,22.48,20.0,22.47,2991733.1,1676505599999,62721912.6935,148986,1470222.2,30875982.9067,0
1676505600000,22.47,23.19,21.22,22.62,3461590.2,1676764799999,77113885.6203,162105,1709031.71,38099639.7153,0
1676764800000,22.62,24.25,21.75,22.85,5578844.08,1677023999999,128954064.1725,266973,2771083.28,64048071.7852,0
1677024000000,22.85,22.93,20.7,21.11,2878334.64,1677283199999,63419657.3728,152416,1299798.47,28673432.1438,0
1677283200000,21.12,21.61,20.3,21.31,1626316.21,1677542399999,34278038.593,91760,738366.61,15573297.7555,0
1677542400000,21.3,21.48,20.54,21.1,1282510.8,1677801599999,27018694.8853,69694,589943.83,12439033.5231,0
1677801600000,21.11,21.12,19.0,19.75,1947980.79,1678060799999,38756240.2929,104075,893843.86,17783102.4899,0
1678060800000,19.76,19.84,17.93,18.25,1654545.2,1678319999999,31582919.9578,87226,698492.05,13329428.7235,0
1678320000000,18.24,18.59,16.1,17.15,2902316.63,1678579199999,49729207.8958,142177,1347457.54,23063290.3574,0
1678579200000,17.15,20.99,16.83,20.22,4464361.24,1678838399999,86068371.1397,260078,2206810.08,42544556.6489,0
1678838400000,20.2,20.58,17.99,20.28,3123971.7,1679097599999,59491253.0068,181217,1561495.49,29751883.2496,0
1679097600000,20.27,22.55,19.34,19.57,5448702.16,1679356799999,115713585.0584,332586,2710501.13,57598300.9059,0
1679356800000,19.57,21.35,19.17,20.78,4085181.38,1679615999999,83201520.7801,230516,2051013.3,41756451.0278,0
1679616000000,20.78,20.89,19.52,20.33,1915466.66,1679875199999,38758686.7144,118323,893711.17,18092162.6738,0
1679875200000,20.33,21.06,18.97,20.67,2367194.09,1680134399999,47460466.2036,154375,1154702.68,23167139.153,0
1680134400000,20.66,21.64,19.97,21.24,2327633.06,1680393599999,48079188.3662,148619,1082897.68,22390960.7122,0
1680393600000,21.24,21.52,19.83,21.12,2866078.01,1680652799999,59343718.7813,165985,1350553.08,27999314.3896,0
1680652800000,21.12,21.57,20.16,20.48,1754946.35,1680911999999,36585542.3899,107538,823036.16,17171790.4366,0
1680912000000,20.48,21.06,20.15,21.01,803616.92,1681171199999,16489927.6639,53317,392693.97,8063497.3743,0
1681171200000,21.0,22.75,20.6,22.4,5438506.85,1681430399999,118606907.1952,300303,2569239.45,56077677.2464,0
1681430400000,22.4,23.12,21.8,22.25,2543854.29,1681689599999,56975110.3571,149396,1207694.33,27056098.2333,0
1681689600000,22.26,22.28,19.92,20.3,2655471.21,1681948799999,56453342.5519,157904,1213362.02,25773531.2887,0
1681948800000,20.29,20.68,19.04,20.19,2414492.72,1682207999999,48258881.4626,156778,1183549.48,23653911.5892,0
1682208000000,20.2,20.28,19.04,19.79,1473328.17,1682467199999,28930458.6123,114814,663029.91,13025804.5433,0
1682467200000,19.8,20.37,18.5,19.75,1674296.71,1682726399999,32778453.0322,112610,839710.27,16467620.5133,0
1682726400000,19.75,19.99,19.63,19.88,320628.13,1682985599999,6356465.0214,26057,174733.11,3465454.3562,0
