open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1577808000000,129.71,130.51,129.2,129.87,7457.8456,1577808899999,969163.2322095,2408,3107.67711,403765.2175133,0
1577808900000,129.89,130.34,129.63,130.16,3050.54286,1577809799999,396520.2853648,1126,1294.5639,168267.0125991,0
1577809800000,130.15,130.47,130.03,130.22,1685.11822,1577810699999,219428.9878219,1142,961.67401,125245.8404287,0
1577810700000,130.26,130.29,130.05,130.07,813.89346,1577811599999,105934.4580849,603,572.83461,74557.9634237,0
1577811600000,130.07,130.07,129.76,129.87,1989.02743,1577812499999,258370.3801087,830,915.1111,118879.9340383,0
1577812500000,129.85,130.13,129.7,129.75,2163.86699,1577813399999,281020.4009824,741,1573.81619,204352.6814998,0
1577813400000,129.76,129.88,128.94,129.13,4411.95013,1577814299999,570520.9588412,1785,2534.31292,327694.213142,0
1577814300000,129.13,129.58,128.75,129.32,10011.5153,1577815199999,1291892.825187,2810,5309.51672,685293.892751,0
1577815200000,129.38,129.74,129.01,129.72,2602.89119,1577816099999,336577.9467791,1431,1235.85842,159849.8783173,0
1577816100000,129.74,130.09,129.39,130.09,2157.51182,1577816999999,279958.938746,1172,1466.13301,190292.1632807,0
1577817000000,130.03,130.09,129.51,129.52,1165.52764,1577817899999,151198.494131,773,384.92564,49944.3830552,0
1577817900000,129.58,129.66,129.29,129.42,1304.36877,1577818799999,168833.8937268,900,555.11403,71861.4849502,0
1577818800000,129.38,129.38,128.58,128.61,3943.72733,1577819699999,508405.4238761,1721,1565.05731,201734.0512596,0
1577819700000,128.61,129.07,128.51,128.62,3852.51899,1577820599999,496069.3553601,1551,1550.69996,199702.7998913,0
1577820600000,128.62,128.85,128.42,128.62,2540.38611,1577821499999,326954.5017427,1072,1592.97035,205052.2160236,0
1577821500000,128.62,129.0,128.46,128.49,1876.43173,1577822399999,241466.8581149,889,1453.95727,187114.5677364,0
1577822400000,128.47,128.72,128.24,128.54,1503.83412,1577823299999,193152.3079531,1127,738.71435,94933.7703335,0
1577823300000,128.58,128.84,128.35,128.65,1180.46638,1577824199999,151802.97771,622,565.30082,72698.4325828,0
1577824200000,128.65,128.96,128.39,128.46,1933.86776,1577825099999,248765.7428964,854,1392.19669,179088.6769955,0
1577825100000,128.5,128.59,128.17,128.39,746.9434,1577825999999,95878.436927,579,336.30506,43176.6638059,0
1577826000000,128.41,128.78,128.27,128.69,916.25349,1577826899999,117786.7961202,703,698.79271,89831.7486008,0
1577826900000,128.69,129.0,128.46,128.76,1445.9535,1577827799999,186190.6645436,741,783.45071,100896.0249773,0
1577827800000,128.79,129.11,128.66,129.08,1505.22681,1577828699999,194085.8078186,681,1152.52877,148627.1746933,0
1577828700000,129.08,129.11,128.9,128.91,802.26817,1577829599999,103497.962444,440,443.08316,57165.741899,0
1577829600000,128.88,129.02,128.73,128.83,897.51507,1577830499999,115676.0756801,590,481.38207,62038.6843624,0
1577830500000,128.83,128.89,128.5,128.55,2125.79785,1577831399999,273433.2580339,771,407.80232,52474.329733,0
1577831400000,128.55,129.05,128.54,129.03,862.5336,1577832299999,111167.3427707,793,562.6893,72521.015914,0
1577832300000,129.02,129.41,128.96,129.05,2051.38798,1577833199999,265069.7104343,1089,1330.26896,171889.8777563,0
1577833200000,129.05,129.35,128.86,129.15,977.54492,1577834099999,126226.751172,732,500.71885,64655.5078366,0
1577834100000,129.2,129.27,128.84,129.03,827.0026,1577834999999,106746.9969265,703,414.66076,53513.3651289,0
1577835000000,129.03,129.35,128.94,129.27,303.53296,1577835899999,39200.1093406,404,155.88915,20134.0773621,0
1577835900000,129.27,129.46,129.09,129.16,873.03475,1577836799999,112872.3304988,634,503.68326,65133.1290545,0
1577836800000,129.16,129.19,128.69,128.91,1883.57914,1577837699999,242788.2296354,779,874.70245,112755.1233585,0
1577837700000,128.91,129.05,128.68,128.78,3686.07368,1577838599999,474731.4876615,778,1970.75067,253800.3138434,0
1577838600000,128.76,129.03,128.76,128.86,1141.18288,1577839499999,147095.65113,426,665.39752,85754.3616036,0
1577839500000,128.87,128.96,128.68,128.87,1058.33766,1577840399999,136314.3737845,521,639.08281,82309.54016,0
