open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609437600000,1.3605,1.3667,1.3596,1.3636,843893.5,1609459199999,1150100.218447,3969,370791.38,505544.228923,0
1609459200000,1.3639,1.368,1.3622,1.3636,706630.22,1609480799999,964235.481534,2873,409278.83,558636.570276,0
1609480800000,1.3643,1.3643,1.3611,1.3615,512785.26,1609502399999,698495.088339,2523,236263.29,321916.635322,0
1609502400000,1.3615,1.365,1.3574,1.358,1565476.5,1609523999999,2130655.060595,5640,458909.22,624933.895747,0
1609524000000,1.3576,1.3635,1.3571,1.3623,1285617.37,1609545599999,1749238.925153,5163,253085.51,344469.224881,0
1609545600000,1.362,1.3632,1.3597,1.3616,468328.96,1609567199999,637627.507819,2074,134484.62,183150.453432,0
1609567200000,1.3616,1.363,1.3577,1.3582,634570.77,1609588799999,863459.224397,3352,242372.54,329884.432719,0
1609588800000,1.3584,1.3618,1.3553,1.3564,2163547.99,1609610399999,2939159.788188,9195,1031415.64,1401691.891052,0
1609610400000,1.3564,1.3665,1.353,1.3583,2662168.26,1609631999999,3617827.61291,11063,843021.8,1146675.674345,0
1609632000000,1.3585,1.3635,1.3558,1.3606,747678.38,1609653599999,1016217.433689,3307,338404.03,460267.29369,0
1609653600000,1.3607,1.3624,1.3507,1.3526,1711884.53,1609675199999,2319360.536788,8240,423492.26,574239.528958,0
1609675200000,1.3526,1.3584,1.35,1.3553,3492308.54,1609696799999,4731900.580535,14980,1048582.41,1421090.669904,0
1609696800000,1.3552,1.3633,1.3542,1.3614,2959512.6,1609718399999,4024018.645894,12440,1194606.99,1624908.719073,0
1609718400000,1.3612,1.3639,1.357,1.3583,2056033.71,1609739999999,2795913.56952,7326,894807.82,1217258.052499,0
1609740000000,1.3582,1.3658,1.346,1.3561,6882655.76,1609761599999,9352074.326576,16746,2785035.87,3788231.195753,0
1609761600000,1.3552,1.3599,1.3469,1.3509,3714251.82,1609783199999,5028553.49583,13782,2284713.28,3093747.765568,0
1609783200000,1.3509,1.3559,1.349,1.3528,2147221.93,1609804799999,2902231.809104,10048,1198432.91,1620396.350328,0
1609804800000,1.3527,1.3594,1.3501,1.3567,1794131.13,1609826399999,2429474.210411,8758,1237269.48,1675644.72219,0
1609826400000,1.3567,1.357,1.3505,1.3547,1232378.98,1609847999999,1668676.668273,8729,702555.65,951492.990716,0
1609848000000,1.3547,1.3599,1.3501,1.3579,2140395.49,1609869599999,2898511.636053,15966,1263781.63,1711757.43736,0
1609869600000,1.3579,1.3624,1.353,1.3569,2691238.96,1609891199999,3653437.455785,20577,1426424.39,1937181.624042,0
1609891200000,1.3573,1.366,1.3527,1.3573,1372093.5,1609912799999,1864533.603004,8354,949748.97,1291209.968499,0
1609912800000,1.3576,1.3586,1.3534,1.3559,2269267.68,1609934399999,3077294.340491,10809,1153483.2,1564462.687337,0
1609934400000,1.3559,1.3565,1.344,1.351,4922317.97,1609955999999,6639166.893975,18284,2474541.11,3337670.887174,0
1609956000000,1.3506,1.3569,1.3487,1.3548,5256666.66,1609977599999,7106851.143142,17968,2672795.17,3614152.602045,0
1609977600000,1.3549,1.357,1.3497,1.3499,2394538.45,1609999199999,3239561.003203,8656,1278187.67,1729108.74831,0
1609999200000,1.3499,1.3539,1.3478,1.3526,3888828.25,1610020799999,5253438.137328,12881,1928437.42,2605286.015742,0
1610020800000,1.3526,1.3553,1.3447,1.3469,5677878.69,1610042399999,7662829.122726,19339,2987822.95,4033196.698355,0
1610042400000,1.3469,1.3597,1.3433,1.351,7978377.81,1610063999999,10767550.265012,24957,4264008.86,5756845.078639,0
1610064000000,1.3511,1.3516,1.3424,1.3476,3868418.99,1610085599999,5209639.622242,14335,1824966.94,2457923.336891,0
1610085600000,1.3476,1.3575,1.3472,1.3553,4586145.38,1610107199999,6203605.10108,16560,2482376.39,3358283.320228,0
1610107200000,1.3553,1.3592,1.3494,1.3525,5227043.16,1610128799999,7077552.431079,21690,2714082.11,3675298.011716,0
1610128800000,1.3526,1.3548,1.3434,1.3496,6883361.32,1610150399999,9282407.784605,21185,3498085.64,4717995.242962,0
1610150400000,1.3496,1.3525,1.3487,1.3499,2292562.65,1610171999999,3094929.689373,9427,1070538.01,1445206.341669,0
1610172000000,1.3497,1.3515,1.3466,1.3479,2728328.89,1610193599999,3680910.644837,11245,1425644.36,1923518.794213,0
1610193600000,1.3479,1.3488,1.3451,1.3466,2767690.07,1610215199999,3728242.546558,13017,1268686.18,1709153.658559,0
1610215200000,1.3466,1.3535,1.3464,1.3492,3691819.63,1610236799999,4982864.137434,21130,1867657.3,2521110.002636,0
1610236800000,1.3493,1.3595,1.3488,1.3513,1604198.73,1610258399999,2168914.366757,13842,828724.31,1120708.927073,0
1610258400000,1.3511,1.3544,1.3424,1.3438,4012363.16,1610279999999,5410818.67014,14993,1837338.28,2478250.698022,0
1610280000000,1.3438,1.3499,1.3393,1.345,5607102.28,1610301599999,7539561.597761,20652,2241612.21,3015312.623051,0
1610301600000,1.345,1.359,1.3438,1.3439,7532046.34,1610323199999,10167269.847452,24377,3699155.12,4996089.448648,0
1610323200000,1.3442,1.3468,1.3376,1.3465,7663213.55,1610344799999,10287882.409526,17183,3953667.0,5308078.073718,0
1610344800000,1.3464,1.3514,1.3347,1.3469,8226094.65,1610366399999,11055951.837513,22020,3447117.57,4635482.579932,0
1610366400000,1.3474,1.3543,1.342,1.3515,13873236.42,1610387999999,18694603.765912,33896,8239114.17,11103984.878342,0
1610388000000,1.3513,1.3515,1.3422,1.3435,7766398.53,1610409599999,10459725.185242,26908,4271157.46,5752552.854932,0
1610409600000,1.3433,1.3508,1.3421,1.3485,3503365.74,1610431199999,4715386.171556,13368,2065542.5,2780896.172115,0
1610431200000,1.3486,1.3554,1.3458,1.3526,4355366.01,1610452799999,5880810.11355,14855,2222545.52,3001803.425303,0
1610452800000,1.3527,1.363,1.3515,1.3599,6519957.88,1610474399999,8843853.2375,21314,3564565.69,4836300.809196,0
