open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672704000000,1.207,1.21,1.189,1.193,14468567.7,1672963199999,17371534.8319,29841,7328450.7,8797438.2924,0
1672963200000,1.193,1.212,1.185,1.212,7741183.6,1673222399999,9308752.6571,19196,3776295.4,4542378.513,0
1673222400000,1.211,1.223,1.21,1.217,13350893.7,1673481599999,16228047.3462,29687,6639696.9,8072511.9797,0
1673481600000,1.217,1.225,1.21,1.223,18153677.5,1673740799999,22155652.7917,38517,8591407.7,10488496.4731,0
1673740800000,1.222,1.23,1.216,1.227,13524506.5,1673999999999,16529827.5866,28367,6375562.7,7794270.9903,0
1674000000000,1.228,1.243,1.225,1.24,14759394.1,1674259199999,18245692.6145,29051,7797115.5,9639914.7375,0
1674259200000,1.24,1.244,1.232,1.238,10624123.8,1674518399999,13156611.7183,21980,5068592.3,6279784.0334,0
1674518400000,1.239,1.242,1.226,1.241,12403569.7,1674777599999,15320601.4522,25712,5651495.5,6983355.9422,0
1674777600000,1.241,1.241,1.234,1.239,8937593.5,1675036799999,11063945.3444,19129,4156831.8,5147326.932,0
1675036800000,1.239,1.241,1.227,1.24,13095399.2,1675295999999,16173204.902,25863,6184552.6,7640875.8541,0
1675296000000,1.239,1.242,1.206,1.207,11378155.3,1675555199999,13891011.4196,21936,5281709.7,6452172.0391,0
1675555200000,1.206,1.209,1.196,1.205,11166624.2,1675814399999,13433462.3622,20452,5363090.0,6452503.83,0
1675814400000,1.204,1.219,1.204,1.205,12268239.4,1676073599999,14841513.6695,22214,5959675.6,7211928.0975,0
1676073600000,1.205,1.225,1.201,1.223,9717724.2,1676332799999,11742014.4451,18559,4793675.3,5792863.02,0
1676332800000,1.223,1.228,1.199,1.201,17226008.3,1676591999999,20851110.1505,28734,8540997.1,10339876.8452,0
1676592000000,1.202,1.206,1.191,1.202,10068185.9,1676851199999,12094053.0022,18096,4618268.5,5549831.8827,0
1676851200000,1.203,1.213,1.199,1.204,14774670.6,1677110399999,17821612.4044,23799,7239690.9,8734558.6408,0
1677110400000,1.204,1.207,1.19,1.191,10651018.8,1677369599999,12753068.1536,18492,4778552.0,5723204.4082,0
1677369600000,1.191,1.209,1.19,1.2,10533887.8,1677628799999,12628100.9223,20691,5260746.0,6308922.5032,0
1677628800000,1.2,1.207,1.184,1.198,13384389.0,1677887999999,16004073.9072,20208,6429070.0,7689808.1104,0
1677888000000,1.198,1.2,1.195,1.199,6601881.6,1678147199999,7906597.7094,14589,3227356.2,3866433.609,0
1678147200000,1.2,1.202,1.181,1.187,12724538.1,1678406399999,15111717.2308,18973,5601336.4,6651775.6685,0
1678406400000,1.186,1.235,1.185,1.229,18776418.6,1678665599999,22645186.4046,27929,10607701.6,12799091.6892,0
1678665600000,1.23,1.252,1.204,1.208,22290707.4,1678924799999,27341695.069,34872,11292108.7,13853809.287,0
1678924800000,1.207,1.223,1.204,1.218,15278494.4,1679183999999,18559527.1325,25137,7606942.9,9242769.5216,0
1679184000000,1.218,1.222,1.213,1.218,15523721.1,1679443199999,18893686.8205,24471,7607201.9,9260249.0926,0
1679443200000,1.219,1.232,1.215,1.217,16908222.6,1679702399999,20651297.8832,24007,8604625.1,10512552.9903,0
1679702400000,1.217,1.225,1.216,1.221,11279645.6,1679961599999,13755812.5973,15990,5719339.6,6975869.5457,0
1679961600000,1.22,1.236,1.22,1.231,11935702.5,1680220799999,14691581.9317,20057,5925920.6,7293891.7189,0
1680220800000,1.231,1.237,1.218,1.223,10598663.2,1680479999999,13017898.7501,18743,4958568.2,6093483.2963,0
1680480000000,1.223,1.249,1.221,1.244,14860205.7,1680739199999,18424471.4145,22523,7462490.4,9250565.0195,0
1680739200000,1.243,1.244,1.234,1.235,8909747.5,1680998399999,11037157.5288,16304,4377763.2,5423885.7474,0
1680998400000,1.235,1.242,1.231,1.237,9508974.1,1681257599999,11758588.6499,18683,4717325.4,5833672.7816,0
1681257600000,1.237,1.248,1.234,1.235,14374169.4,1681516799999,17851430.9386,22028,7079977.3,8794803.4912,0
1681516800000,1.236,1.239,1.228,1.231,11900406.2,1681775999999,14680873.6453,16610,5830304.4,7193910.2206,0
1681776000000,1.231,1.243,1.231,1.239,13908390.0,1682035199999,17222905.0992,22882,6381547.9,7902797.4667,0
1682035200000,1.238,1.241,1.233,1.24,10135205.8,1682294399999,12531101.8805,19677,4625426.8,5720198.6871,0
1682294400000,1.24,1.248,1.236,1.244,12449824.3,1682553599999,15458410.6214,20957,6020806.5,7477492.3348,0
1682553600000,1.243,1.254,1.24,1.249,9299340.0,1682812799999,11596283.7825,17538,4240894.0,5288912.1227,0
1682812800000,1.248,1.25,1.247,1.249,1339106.9,1683071999999,1672038.256,2547,688687.3,860060.6454,0
