open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1672502400000,1.211,1.211,1.21,1.21,3513.2,1672502699999,4251.9531,14,981.1,1188.1121,0
1672502700000,1.21,1.211,1.21,1.211,7741.2,1672502999999,9367.701,26,849.0,1028.139,0
1672503000000,1.21,1.211,1.21,1.21,5653.0,1672503299999,6840.5795,17,449.5,544.3445,0
1672503300000,1.21,1.211,1.21,1.211,10798.1,1672503599999,13072.6092,27,6908.2,8365.8302,0
1672503600000,1.21,1.211,1.21,1.21,20151.9,1672503899999,24389.2752,26,5476.2,6631.6782,0
1672503900000,1.211,1.211,1.21,1.21,11163.5,1672504199999,13512.6845,23,4849.5,5872.7445,0
1672504200000,1.21,1.211,1.21,1.21,12748.9,1672504499999,15432.1916,27,6022.6,7293.3686,0
1672504500000,1.211,1.211,1.21,1.21,1732.0,1672504799999,2096.3887,15,668.7,809.7957,0
1672504800000,1.21,1.211,1.21,1.21,1426.3,1672505099999,1725.9982,9,175.2,212.1672,0
1672505100000,1.21,1.211,1.21,1.21,22723.3,1672505399999,27495.5179,29,324.9,393.4539,0
1672505400000,1.211,1.211,1.21,1.211,7912.9,1672505699999,9576.4722,20,1863.2,2256.3352,0
1672505700000,1.21,1.211,1.21,1.21,30112.8,1672505999999,36437.3259,35,837.9,1014.6969,0
1672506000000,1.21,1.211,1.21,1.21,6452.6,1672506299999,7810.0878,28,2441.8,2957.0198,0
1672506300000,1.21,1.211,1.21,1.21,15659.4,1672506599999,18949.1195,20,1245.5,1508.3005,0
1672506600000,1.211,1.211,1.21,1.211,907.5,1672506899999,1098.5613,9,486.3,588.9093,0
1672506900000,1.21,1.211,1.21,1.211,15718.1,1672507199999,19024.6058,34,5704.8,6908.5128,0
1672507200000,1.21,1.211,1.21,1.21,17010.8,1672507499999,20583.7861,35,718.1,869.6191,0
1672507500000,1.21,1.211,1.21,1.21,4233.8,1672507799999,5123.0296,28,131.6,159.3676,0
1672507800000,1.21,1.211,1.21,1.211,7998.1,1672508099999,9684.0581,15,6357.1,7698.4481,0
1672508100000,1.21,1.211,1.21,1.21,11706.1,1672508399999,14165.9642,29,1583.2,1917.2552,0
