PSGUSDT,5m,open4.12,closeprice4.08,dfname2023-07-25_14:40:00,starttime2023-07-25_14:44:57.50,exittime2023-07-25 14:46:54.91,exitreasonReason: Stop L-0.64%
AMPUSDT,5m,open0.00233,closeprice0.002334,dfname2023-07-25_15:20:00,starttime2023-07-25_15:24:57.83,exittime2023-07-25 15:28:01.25,exitreasonReason: Stop L0.72%
KNCUSDT,5m,open0.688,closeprice0.678,dfname2023-07-25_14:35:00,starttime2023-07-25_14:39:57.54,exittime2023-07-25 15:50:14.63,exitreasonReason: Stop L-1.32%
ACAUSDT,5m,open0.0745,closeprice0.0735,dfname2023-07-25_16:05:00,starttime2023-07-25_16:09:58.08,exittime2023-07-25 16:15:49.78,exitreasonReason: Stop L-1.32%
FUNUSDT,5m,open0.005411,closeprice0.005256,dfname2023-07-25_21:35:00,starttime2023-07-25_21:39:58.85,exittime2023-07-25 21:40:04.02,exitreasonReason: Stop L-2.00%
AMPUSDT,5m,open0.002629,closeprice0.002576,dfname2023-07-25_21:45:00,starttime2023-07-25_21:49:57.72,exittime2023-07-25 21:53:31.42,exitreasonReason: Stop L-1.32%
FUNUSDT,5m,open0.005228,closeprice0.005256,dfname2023-07-25_21:55:00,starttime2023-07-25_21:59:57.47,exittime2023-07-25 22:02:51.01,exitreasonReason: Stop L0.72%
AMPUSDT,5m,open0.002811,closeprice0.00282,dfname2023-07-26_00:40:00,starttime2023-07-26_00:44:57.06,exittime2023-07-26 00:51:09.78,exitreasonReason: Stop L0.72%
FUNUSDT,5m,open0.004983,closeprice0.004964,dfname2023-07-26_02:30:00,starttime2023-07-26_02:34:57.78,exittime2023-07-26 02:38:36.69,exitreasonReason: Stop L0.04%
AUCTIONUSDT,5m,open6.27,closeprice6.3,dfname2023-07-26_13:05:00,starttime2023-07-26_13:09:59.74,exittime2023-07-26 13:17:27.61,exitreasonReason: Stop L0.72%
FUNUSDT,5m,open0.00472,closeprice0.004721,dfname2023-07-26_13:30:00,starttime2023-07-26_13:34:57.14,exittime2023-07-26 14:23:23.91,exitreasonReason: Stop L0.04%
AMPUSDT,5m,open0.002477,closeprice0.002577,dfname2023-07-26_14:30:00,starttime2023-07-26_14:34:58.78,exittime2023-07-26 14:43:17.32,exitreasonReason: Stop L4.12%
FUNUSDT,5m,open0.005153,closeprice0.005101,dfname2023-07-26_15:05:00,starttime2023-07-26_15:09:58.19,exittime2023-07-26 15:11:30.01,exitreasonReason: Stop L0.04%
AUCTIONUSDT,5m,open7.01,closeprice7.18,dfname2023-07-26_20:10:00,starttime2023-07-26_20:15:00.26,exittime2023-07-26 20:25:41.86,exitreasonReason: Stop L3.44%
AUCTIONUSDT,5m,open6.99,closeprice6.89,dfname2023-07-26_21:15:00,starttime2023-07-26_21:19:57.19,exittime2023-07-26 21:26:39.42,exitreasonReason: Stop L-1.32%
OGNUSDT,5m,open0.1108,closeprice0.1115,dfname2023-07-26_21:25:00,starttime2023-07-26_21:29:57.76,exittime2023-07-26 21:32:10.07,exitreasonReason: Stop L0.72%
AUCTIONUSDT,5m,open7.09,closeprice7.38,dfname2023-07-26_21:30:00,starttime2023-07-26_21:34:57.88,exittime2023-07-26 21:43:26.95,exitreasonReason: Stop L4.12%
